Value	Annotation	Predicted	Residual
200.25847307932258	preprotein translocase, SecA subunit	183.37074711862863	40.34065137202697
120.81032629529686	ribosomal subunit interface protein, putative	111.73903489129326	39.46289021922523
167.49635069415737	PAN domain protein	153.83189671560376	54.14101142897553
186.74409759544193	2-oxoglutarate dehydrogenase, E3 component, dihydrolipoamide dehydrogenase	171.18597132738086	73.04167350726703
171.591615992303	2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase	157.52425301598186	36.67747607578073
244.89686482911029	2-oxoglutarate dehydrogenase, E1 component	223.6174307927501	58.55121755476023
176.09640782026324	succinyl-CoA synthase, alpha subunit	161.5858449463978	138.00756056998267
248.9921301272559	succinate dehydrogenase, flavoprotein subunit	227.30978709312816	116.68864475682463
72.48619577717811	crotonyl-CoA reductase	68.16923054683153	68.98047104040455
141.28665278602514	2-isopropylmalate synthase	130.20081639318383	60.90942352345661
314.92590142740096	cold shock family protein	286.7567235292158	-78.78381538463648
159.30582009786602	ribosomal protein L2	146.44718411484752	113.237906595411
136.37233442825035	ribosomal protein L5	125.76998883273009	42.85669344665854
137.1913874878795	ribosomal protein S5	126.50846009280572	60.38611276685002
97.8768406256812	ribosomal protein L30	91.06183960917585	61.26426338320522
153.98197521027666	ribosomal protein S11	141.64712092435596	47.495807699024965
597.0896804696367	glutamate/glutamine/aspartate/asparagine ABC transporter, periplasmic substrate-binding protein	541.1600726252677	-133.92663492054413
89.27678349957532	membrane protein, putative	83.30789137838181	-70.37984573696201
138.82949360713775	D-isomer specific 2-hydroxyacid dehydrogenase family protein	127.98540261295696	48.229480369004165
17.60964078202632	EF hand domain protein	18.691656121764833	36.95514903043342
235.88728117318982	phosphoenolpyruvate carboxykinase (ATP)	215.4942469319182	-38.99831947949144
142.10570584565428	L-lactate dehydrogenase, putative	130.93928765325944	37.12530568519793
177.32498740970692	chaperonin, 10 kDa	162.6935518365112	86.59289346651835
277.2494606844609	sulfate adenylyltransferase	252.78704556573715	67.88469523556691
366.5262441840362	carbamoyl-phosphate synthase, large subunit	333.28041291397994	63.835423853980274
110.16263652011816	acetyl-CoA carboxylase, biotin carboxylase	102.13890851031017	36.97810437018545
215.00142815264692	prolyl-tRNA synthetase	196.6632297999898	43.06770350720771
768.2717699321252	pyruvate carboxylase	695.5005659810728	103.78990802322937
112.61979569900556	cell division protein FtsZ	104.35432229053706	-40.55722749483502
153.98197521027666	type I secretion outer membrane protein, TolC family	141.64712092435596	47.77685216949058
106.47689775178706	thymidylate synthase, flavin-dependent	98.81578783996987	41.14435845192271
300.59247288389116	cold shock family protein	273.83347647789236	-54.89983398515278
538.1178601763393	phasin, PhaP	487.9901418998229	56.39299739213675
160.9439262171243	HflC protein	147.92412663499877	60.891914920977484
222.7824322191237	ketol-acid reductoisomerase	203.67870677070826	112.49632250314542
52.009869286449835	tyrosinase domain protein	49.70744904494097	71.4227177257532
98.69589368531031	helicase, putative	91.80031086925145	-43.17961747869439
68.80045700884702	TRAP dicarboxylate transporter, DctP subunit, putative	64.84610987649123	37.17303290253889
124.90559159344252	carbon monoxide dehydrogenase, large subunit	115.43139119167138	-51.3532519255037
240.39207300115004	peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein	219.55583886233416	220.84084635733586
156.0296078593495	oligopeptide/dipeptide ABC transporter, periplasmic substrate-binding protein	143.49329907454504	61.950208835843426
142.10570584565428	ribosomal protein L13	130.93928765325944	48.929173444755094
110.16263652011816	urea ABC transporter substrate binding protein	102.13890851031017	-88.92981839842473
285.4399912807523	glutamate dehydrogenase	260.1717581664934	75.11429509902433
129.00085689158817	twin-arginine translocation pathway signal sequence domain protein	119.12374749204949	132.6920980451709
230.1539097557859	transketolase	210.32494811138886	52.45163177399181
69.61951006847616	mechanosensitive ion channel family protein	65.58458113656685	-41.1337122060555
106.47689775178706	pyridoxal-phosphate dependent enzyme	98.81578783996987	39.17704715866317
196.5727343109915	branched-chain amino acid ABC transporter, periplasmic substrate-binding protein	180.04762644828833	44.506905453764176
334.99270138831474	translation elongation factor Ts	304.84926940106857	-59.4974466845581
38.905020332383735	hypothetical protein	37.89190888373102	49.79396590155106
111.39121610956185	glucose-6-phosphate isomerase	103.24661540042361	46.269042887300984
208.44900367561388	citrate synthase I	190.75545971938485	78.48514298670565
324.34501161313597	TRAP transporter solute receptor, TAXI family	295.2491430200854	171.8467668938211
195.7536812513624	pyruvate dehydrogenase complex, E3 component, lipoamide dehydrogenase, putative	179.30915518821274	41.872843068251996
236.2968077030044	peptidyl-prolyl cis-trans isomerase, cyclophilin-type	215.86348256195603	50.00458649854667
219.50621998060717	pyruvate dehydrogenase complex, E1 component, alpha subunit	200.72482173040575	56.711913216127556
547.9464968918887	glutamine synthetase, type I	496.85179702073026	146.74004034560312
194.52510166191868	adenylosuccinate lyase	178.20144829809928	39.32697184231205
343.5927585144206	aconitate hydratase 1	312.6032176318626	65.12055067396795
53.647975405708095	preprotein translocase, YajC subunit	51.18439156509221	40.99819474764024
135.14375483880667	seryl-tRNA synthetase	124.66228194261667	52.11468998027574
145.3819180841708	superoxide dismutase, Fe	133.89317269356192	79.13853591939903
855.9104473124421	bacterial extracellular solute-binding protein, family 7	774.5169908091643	-55.043146417106186
246.12544441855397	NADH-dependent flavin oxidoreductase, Oye family	224.7251376828635	-96.2878146800625
58.152767233668314	protease, S2 family	55.24598349550814	127.99501124809419
139.23902013695232	LysM domain/M23/M37 peptidase	128.35463824299475	37.4615993317374
423.04090529844626	peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein	384.2349298591979	108.4360268670826
165.44871804508452	malate synthase G	151.9857185654147	51.20943358124862
82.31483249272769	Ser/Thr protein phosphatase/nucleotidase, putative	77.030885667739	37.35421381177963
51.1908162268207	Sporulation related protein	48.968977784865345	61.481499108134216
220.73479957005088	malate dehydrogenase	201.8325286205192	40.427804920869136
221.14432609986545	peptide/nickel/opine uptake family ABC transporter, periplasmic substrate-binding protein	202.201764250557	69.56823868972435
128.59133036177363	glucose-6-phosphate 1-dehydrogenase	118.7545118620117	46.49963677178917
470.1364562271214	ATP synthase F1, alpha subunit	426.6970273135463	144.1042922021843
221.55385262968	ribosomal protein S4	202.5709998805948	86.6237602285567
75.35288148588008	ATP synthase F0, B subunit	70.75387995709622	53.18673151825443
95.4196814467938	branched-chain amino acid ABC transporter, periplasmic branched-chain amino acid binding protein, putative	88.84642582894898	-50.905422316086536
387.82162373439365	D-3-phosphoglycerate dehydrogenase	352.48066567594617	66.83768425880027
91.32441614864813	aldehyde dehydrogenase family protein	85.15406952857084	39.348630887711096
498.80331331414095	polyribonucleotide nucleotidyltransferase	452.543521416193	78.91157223434686
1553.743654116462	outer membrane porin	1403.6945043935948	-714.0113738708953
199.848946549508	ribosomal protein S7	183.0015114885908	63.75553358024791
63.0670855914431	ribosomal protein S12	59.67681105596188	39.25084254794612
591.3563090522327	DNA-directed RNA polymerase, beta subunit	535.9907738047383	61.22872593476313
112.61979569900556	translation elongation factor G, putative	104.35432229053706	39.82149105834023
160.9439262171243	OmpA domain protein	147.92412663499877	38.40835728372568
154.39150174009126	nitrogen regulatory protein P-II	142.01635655439378	40.9435937187429
118.35316711640945	DNA-binding protein HU	109.52362111106638	56.573660934131425
294.85910146648723	glutamate synthase, large subunit	268.664177657363	39.36056197298694
121.62937935492599	ribosomal protein L4	112.47750615136889	54.46290930522588
169.95350987304474	ribosomal protein L3	156.0473104958306	47.1478416508327
196.16320778117694	adenosylhomocysteinase	179.67839081825053	75.79103283502323
175.27735476063407	transcription termination factor Rho	160.84737368632213	42.0667339898755
276.0208810950172	Unknown	251.67933867562368	92.31909317432911
224.8300648681965	Unknown	205.52488492089728	52.75498343703296
142.10570584565428	Unknown	130.93928765325944	61.857219086174894
77.81004066476747	Unknown	72.96929373732308	58.2784739701344
128.18180383195903	Unknown	118.38527623197385	98.0189660265749
145.79144461398536	Unknown	134.26240832359974	91.4163014603154
561.0513458459549	Unknown	508.6673371819403	60.16667104053067
359.56429317718863	Unknown	327.0034072033372	51.28245004342466
195.7536812513624	Unknown	179.30915518821274	36.814042599870334
129.00085689158817	Unknown	119.12374749204949	40.22846726197278
