Value	Annotation	Predicted	Residual
32.60959293280483	outer membrane protein [Alteromonas macleodii]	31.24764449874491	186.2731940951269
127.47386328278252	phosphoglycerate mutase [Alteromonas macleodii]	98.42231038977972	45.7228351853298
15.81071172499628	aconitase [Alteromonas macleodii]	19.352130747207497	70.86388525946744
217.39728621869887	LSU ribosomal protein L23P [Alteromonas macleodii]	162.09829576565645	-54.24003662878728
189.72854069995537	peptidyl-dipeptidase Dcp [Alteromonas macleodii]	142.5056848807713	47.95034891109802
28.65691500155576	DNA topoisomerase IV subunit A [Alteromonas macleodii]	28.448700086618462	44.325552825432666
302.37986174055385	succinylglutamic semialdehyde dehydrogenase [Alteromonas macleodii]	222.2756006263751	-80.53621547811025
346.8474884671059	acetylornithine aminotransferase apoenzyme [Alteromonas macleodii]	253.7637252627977	-59.29809075952062
33.5977624156171	ATP-dependent RNA helicase RhlB [Alteromonas macleodii]	31.947380601776523	43.23263273711927
201.58657449370259	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [Alteromonas macleodii]	150.90251811715066	53.58711816464589
244.07786225463008	L-proline dehydrogenase /delta-1-pyrroline-5-carboxylate dehydrogenase [Alteromonas macleodii]	180.99117054751	43.94742936246621
75.10088069373234	aconitase [Alteromonas macleodii]	61.33629692910425	56.34548395071394
150.20176138746467	LSU ribosomal protein L13P [Alteromonas macleodii]	114.51624075950681	42.8605871632484
56.32566052029925	SSU ribosomal protein S9P [Alteromonas macleodii]	48.04131097150362	44.58046546201598
14.822542242184014	sigma 54 modulation protein [Alteromonas macleodii]	18.652394644175885	157.9705166933366
84.98257552185503	membrane fusion protein [Alteromonas macleodii]	68.33365795942039	55.56300402307987
122.5330158687212	hydrophobe/amphiphile efflux-1 (HAE1) family protein [Alteromonas macleodii]	94.92362987462167	84.3055219253059
86.95891448747955	NodT family [Alteromonas macleodii]	69.7331301654836	78.82257619217447
37.55044034686617	polyphosphate kinase [Alteromonas macleodii]	34.746325013902975	54.86825088606081
373.52806450303717	SSU ribosomal protein S2P [Alteromonas macleodii]	272.65660004465127	-83.20296643063392
554.3630798576821	translation elongation factor Ts (EF-Ts) [Alteromonas macleodii]	400.70830689943637	-86.75657119620757
260.87674346243864	phosphoribosylformylglycinamidine synthase [Alteromonas macleodii]	192.8866842990474	52.901839310249244
17.787050690620816	N-acetylneuraminate synthase [Alteromonas macleodii]	20.751602953270723	41.79816814469058
312.26155656867655	outer membrane transport energization protein ExbB [Alteromonas macleodii]	229.27296165669125	-65.68125263125401
