Value	Annotation	Predicted	Residual
163.0	preprotein translocase, SecA subunit	217.4872263866417	47.846106946691606
98.33333333333333	ribosomal subunit interface protein, putative	132.52829668576257	46.80503664757077
136.33333333333334	PAN domain protein	182.45261620071219	64.21405046595447
152.0	2-oxoglutarate dehydrogenase, E3 component, dihydrolipoamide dehydrogenase	203.03544968494577	86.63121698172091
139.66666666666666	2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase	186.83194247395335	43.501390859379995
199.33333333333334	2-oxoglutarate dehydrogenase, E1 component	265.2218827649707	69.44478390169598
143.33333333333334	succinyl-CoA synthase, alpha subunit	191.64920137451867	163.68413195881465
202.66666666666666	succinate dehydrogenase, flavoprotein subunit	269.6012090382119	138.3987909617881
59.0	crotonyl-CoA reductase	80.85224666151649	81.81442000515017
115.0	2-isopropylmalate synthase	154.42492805196852	72.24173861469814
256.3333333333333	cold shock family protein	340.10836203739507	-93.44169537072841
129.66666666666666	ribosomal protein L2	173.69396365422978	134.30603634577022
111.0	ribosomal protein L5	149.1697365240791	50.8302634759209
111.66666666666667	ribosomal protein S5	150.04560177872733	71.62106488793933
79.66666666666667	ribosomal protein L30	108.00406955561189	72.66259711105477
125.33333333333333	ribosomal protein S11	168.00083949901622	56.33249383431712
486.0	glutamate/glutamine/aspartate/asparagine ABC transporter, periplasmic substrate-binding protein	641.8439422637134	-158.84394226371342
72.66666666666667	membrane protein, putative	98.80748438180538	-83.47415104847205
113.0	D-isomer specific 2-hydroxyacid dehydrogenase family protein	151.79733228802382	57.202667711976176
14.333333333333334	EF hand domain protein	22.1692746000845	43.8307253999155
192.0	phosphoenolpyruvate carboxykinase (ATP)	255.5873649638401	-46.254031630506745
115.66666666666667	L-lactate dehydrogenase, putative	155.30079330661678	44.03254002671656
144.33333333333334	chaperonin, 10 kDa	192.96299925649103	102.70366741017565
225.66666666666666	sulfate adenylyltransferase	299.81856032357615	80.51477300975716
298.3333333333333	carbamoyl-phosphate synthase, large subunit	395.28787308023414	75.71212691976586
89.66666666666667	acetyl-CoA carboxylase, biotin carboxylase	121.14204837533546	43.85795162466454
175.0	prolyl-tRNA synthetase	233.25280097031	51.08053236302331
625.3333333333334	pyruvate carboxylase	824.8997804851952	123.10021951480485
91.66666666666667	cell division protein FtsZ	123.76964413928019	-48.10297747261352
125.33333333333333	type I secretion outer membrane protein, TolC family	168.00083949901622	56.665827167650434
86.66666666666667	thymidylate synthase, flavin-dependent	117.20065472941839	48.79934527058161
244.66666666666666	cold shock family protein	324.7807200810509	-65.11405341438422
438.0	phasin, PhaP	578.7816439290402	66.8850227376264
131.0	HflC protein	175.44569416352624	72.22097250314042
181.33333333333334	ketol-acid reductoisomerase	241.57352088946828	133.42647911053172
42.333333333333336	tyrosinase domain protein	58.95561529531052	84.71105137135613
80.33333333333333	helicase, putative	108.87993481026011	-51.213268143593446
56.0	TRAP dicarboxylate transporter, DctP subunit, putative	76.91085301559941	44.089146984400585
101.66666666666667	carbon monoxide dehydrogenase, large subunit	136.90762295900376	-60.90762295900376
195.66666666666666	peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein	260.4046238644054	261.928709468928
127.0	oligopeptide/dipeptide ABC transporter, periplasmic substrate-binding protein	170.19050263563682	73.47616403102984
115.66666666666667	ribosomal protein L13	155.30079330661678	58.03254002671656
89.66666666666667	urea ABC transporter substrate binding protein	121.14204837533546	-105.47538170866879
232.33333333333334	glutamate dehydrogenase	308.57721287005853	89.08945379660815
105.0	twin-arginine translocation pathway signal sequence domain protein	141.28694923224495	157.37971743442174
187.33333333333334	transketolase	249.45630818130243	62.21035848536425
56.666666666666664	mechanosensitive ion channel family protein	77.78671827024765	-48.78671827024765
86.66666666666667	pyridoxal-phosphate dependent enzyme	117.20065472941839	46.46601193724827
160.0	branched-chain amino acid ABC transporter, periplasmic substrate-binding protein	213.54583274072462	52.787500592608694
272.6666666666667	translation elongation factor Ts	361.567060776277	-70.567060776277
31.666666666666668	hypothetical protein	44.941771220938705	59.058228779061295
90.66666666666667	glucose-6-phosphate isomerase	122.45584625730783	54.87748707602552
169.66666666666666	citrate synthase I	226.2458789331241	93.08745440020923
264.0	TRAP transporter solute receptor, TAXI family	350.18081246584984	203.81918753415016
159.33333333333334	pyruvate dehydrogenase complex, E3 component, lipoamide dehydrogenase, putative	212.66996748607642	49.6633658472569
192.33333333333334	peptidyl-prolyl cis-trans isomerase, cyclophilin-type	256.0252975911642	59.308035742169125
178.66666666666666	pyruvate dehydrogenase complex, E1 component, alpha subunit	238.0700598708753	67.26327346245802
446.0	glutamine synthetase, type I	589.2920269848189	174.04130634851447
158.33333333333334	adenylosuccinate lyase	211.35616960410405	46.64383039589595
279.6666666666667	aconitate hydratase 1	370.7636459500835	77.23635404991649
43.666666666666664	preprotein translocase, YajC subunit	60.707345804606994	48.625987528726334
110.0	seryl-tRNA synthetase	147.85593864210674	61.81072802455992
118.33333333333333	superoxide dismutase, Fe	158.8042543252097	93.86241234145695
696.6666666666666	bacterial extracellular solute-binding protein, family 7	918.6173627325566	-65.28402939922319
200.33333333333334	NADH-dependent flavin oxidoreductase, Oye family	266.5356806469431	-114.20234731360975
47.333333333333336	protease, S2 family	65.52460470517232	151.80872862816102
113.33333333333333	LysM domain/M23/M37 peptidase	152.23526491534793	44.43140175131873
344.3333333333333	peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein	455.7225756509626	128.61075768237077
134.66666666666666	malate synthase G	180.26295306409156	60.73704693590844
67.0	Ser/Thr protein phosphatase/nucleotidase, putative	91.36262971729535	44.30403694937131
41.666666666666664	Sporulation related protein	58.079750040662276	72.92024995933772
179.66666666666666	malate dehydrogenase	239.38385775284766	47.949475580485654
180.0	peptide/nickel/opine uptake family ABC transporter, periplasmic substrate-binding protein	239.8217903801718	82.51154295316152
104.66666666666667	glucose-6-phosphate 1-dehydrogenase	140.84901660492085	55.15098339507915
382.6666666666667	ATP synthase F1, alpha subunit	506.08482779323634	170.91517220676366
180.33333333333334	ribosomal protein S4	240.25972300749592	102.74027699250408
61.333333333333336	ATP synthase F0, B subunit	83.91777505278532	63.082224947214684
77.66666666666667	branched-chain amino acid ABC transporter, periplasmic branched-chain amino acid binding protein, putative	105.37647379166717	-60.376473791667166
315.6666666666667	D-3-phosphoglycerate dehydrogenase	418.06036970108835	79.27296363224497
74.33333333333333	aldehyde dehydrogenase family protein	100.99714751842596	46.669519148240695
406.0	polyribonucleotide nucleotidyltransferase	536.7401117059246	93.59322162740875
1264.6666666666667	outer membrane porin	1664.8545596928561	-846.8545596928561
162.66666666666666	ribosomal protein S7	217.04929375931758	75.61737290734911
51.333333333333336	ribosomal protein S12	70.77979623306175	46.55353710027158
481.3333333333333	DNA-directed RNA polymerase, beta subunit	635.7128854811756	72.62044785215778
91.66666666666667	translation elongation factor G, putative	123.76964413928019	47.23035586071981
131.0	OmpA domain protein	175.44569416352624	45.55430583647376
125.66666666666667	nitrogen regulatory protein P-II	168.43877212634035	48.56122787365965
96.33333333333333	DNA-binding protein HU	129.90070092181784	67.09929907818216
240.0	glutamate synthase, large subunit	318.64966329851325	46.68367003482007
99.0	ribosomal protein L4	133.4041619404108	64.5958380595892
138.33333333333334	ribosomal protein L3	185.08021196465688	55.91978803534312
159.66666666666666	adenosylhomocysteinase	213.1079001134005	89.89209988659951
142.66666666666666	transcription termination factor Rho	190.7733361198704	49.89333054679625
224.66666666666666	Unknown	298.50476244160376	109.49523755839624
183.0	Unknown	243.76318402608888	62.570149307244435
115.66666666666667	Unknown	155.30079330661678	73.36587336004987
63.333333333333336	Unknown	86.54537081673004	69.12129584993662
104.33333333333333	Unknown	140.41108397759672	116.25558268906997
118.66666666666667	Unknown	159.24218695253384	108.42447971413284
456.6666666666667	Unknown	603.3058710591908	71.36079560747578
292.6666666666667	Unknown	387.84301841572415	60.82364825094254
159.33333333333334	Unknown	212.66996748607642	43.6633658472569
