Significant_Overexpressed	Accession Number +	Significant_Underexpressed	Accession Number -
Unknown	SPO0017		
TENA/THI-4 family protein	SPO0051		
PPIC-type PPIASE domain protein	SPO0058		
peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein	SPO0101		
hypothetical protein	SPO0140		
aminomethyl transferase family protein	SPO0207		
Unknown	SPO0304		
MJ0042 family finger-like domain protein	SPO0336		
metallo-beta-lactamase family protein	SPO0429		
		Unknown	SPO0442
		Unknown	SPO0467
Unknown	SPO0473		
Unknown	SPO0474		
		microcystin dependent protein, putative	SPO0483
transcriptional regulator, DeoR family	SPO0707		
		TRAP dicarboxylate transporter, DctP subunit	SPO0738
hypothetical protein	SPO0746		
		transcriptional regulator, LysR family	SPO0870
sulfur oxidation Y protein	SPO0994		
Unknown	SPO1250		
hypothetical protein	SPO1347		
methionyl-tRNA synthetase	SPO1403		
TRAP dicarboxylate transporter, DctP subunit, putative	SPO1465		
Unknown	SPO1493		
cytochrome P450 family protein	SPO1622		
putative pilus assembly protein TadG	SPO1742		
Unknown	SPO1810		
		C4-dicarboxylate transport sensor protein DctB, putative	SPO1891
Unknown	SPO1929		
		no change	SPO2121
B12 cap/binding MetH protein	SPO2160		
		lipoprotein, putative	SPO2166
		sensor histidine kinase	SPO2173
amidohydrolase family protein	SPO2195		
von Willebrand factor type A domain protein	SPO2221		
		peptidase, M23/M37 family	SPO2230
Unknown	SPO2239		
		cysteine synthase A	SPO2246
		hypothetical protein	SPO2290
Isethionate dehydrogenase	SPO2359-DECOY		
N-formylglutamate amidohydrolase family protein	SPO2603		
Unknown	SPO2604		
TRAP transporter solute receptor, DctP family	SPO2628		
glycosyl transferase, group 2 family protein	SPO2651		
		Unknown	SPO2661
		Unknown	SPO2685
Ser/Thr protein phosphatase/nucleotidase, putative	SPO2904		
oxidoreductase, zinc-binding dehydrogenase family	SPO2960		
valine--tRNA ligase	SPO3022-DECOY		
putative protein TIGR00051	SPO3113		
hypothetical protein	SPO3149-DECOY		
		ATP-dependent Clp protease, ATP-binding subunit ClpA	SPO3169
		Unknown	SPO3192
protein-methionine-sulfoxide reductase catalytic subunit MsrP	SPO3271		
N-formylglutamate amidohydrolase family protein	SPO3282		
		Unknown	SPO3301
hypothetical protein	SPO3302		
hypothetical protein	SPO3325		
serine/threonine protein phosphatase family protein	SPO3358		
		Manganese ABC transporter, periplasmic protein	SPO3366
Unknown	SPO3377		
thioredoxin	SPO3423		
DNA-binding response regulator	SPO3426		
oxidoreductase, FAD-binding protein	SPO3552		
		Unknown	SPO3565
isochorismatase family protein	SPO3580-DECOY		
transcriptional regulator PecS	SPO3583		
sulfonate ABC transporter, periplasmic sulfonate-binding protein	SPO3620		
Unknown	SPO3664		
Unknown	SPO3779		
hypothetical protein	SPO3859		
Unknown	SPOA0103		
		Unknown	SPOA0205
Unknown	SPOA0282		
