Significant_Overexpressed	Accession Number +	Significant_Underexpressed	Accession Number -
Unknown	SPO0112		
Unknown	SPO0568		
aminomethyl transferase family protein	SPO0635		
		L-lactate dehydrogenase, putative	SPO0813
uricase	SPO0872		
serine/threonine protein kinase	SPO1059		
LysM domain protein	SPO1062		
hypothetical protein	SPO1243		
Unknown	SPO1305		
hypothetical protein	SPO1316		
indole acetamide hydrolase	SPO1489		
Unknown	SPO1493		
		carbon-monoxide dehydrogenase, small subunit	SPO1518
citrate lyase, putative	SPO1565		
periplasmic serine protease, DO/DeqQ family	SPO1625		
		oligopeptide/dipeptide ABC transporter, ATP-binding protein	SPO1656
riboflavin synthase, beta subunit	SPO1762		
		formate dehydrogenase, alpha subunit, putative	SPO1796
hypothetical protein	SPO1861		
metFprotein-like protein	SPO1862		
		nitrogen regulation protein NtrC	SPO2087
arginase	SPO2119		
no change	SPO2121		
UvrABC system protein A	SPO2218		
hypothetical protein	SPO2289		
		nitrogen regulatory protein P-II	SPO2294
		glutamine synthetase, type I	SPO2295
efflux transporter, RND family, MFP subunit	SPO2331		
adenylyltransferase	SPO2480		
Unknown	SPO2513		
N-formylglutamate amidohydrolase family protein	SPO2603		
hypothetical protein	SPO2837		
formate--tetrahydrofolate ligase	SPO3103		
		Unknown	SPO3187
quinolinate synthetase complex, A subunit	SPO3243		
		D-3-phosphoglycerate dehydrogenase	SPO3355
Manganese ABC transporter, periplasmic protein	SPO3366		
peptidase, M16 family	SPO3371		
type I secretion target repeat protein	SPO3673		
Unknown	SPO3779		
Unknown	SPOA0103		
		Unknown	SPOA0300
Unknown	SPOA0396		
		Hpt domain protein	SPO0021
		Unknown	SPO0202
		EAL domain protein	SPO0327
		Unknown	SPO0639
		Unknown	SPO1045
		selenium-binding protein, putative	SPO1643
		hypothetical protein	SPO2052
		TRAP dicarboxylate transporter, DctP subunit, putative	SPO2433
		AMP-binding enzyme	SPO3296
		hydrolase, putative	SPO3698
		Unknown	SPO3754
		Unknown	SPO3790
		Unknown	SPO3827
