Significant_Overexpressed	Accession Number +	Significant_Underexpressed	Accession Number -
chaperonin, 33 kDa	SPO0024		
		PAN domain protein	SPO0133
alanine dehydrogenase	SPO0222		
Unknown	SPO0239		
Unknown	SPO0473		
Unknown	SPO0568		
		Unknown	SPO0831
		hypothetical protein	SPO1097
hypothetical protein	SPO1192		
L-carnitine dehydrogenase	SPO1436		
		indolepyruvate oxidoreductase, IorA subunit, putative	SPO1459
		Unknown	SPO1722
		twin-arginine translocation pathway signal sequence domain protein	SPO1860
		Unknown	SPO2089
lipoic acid synthetase	SPO2102		
metallo-beta-lactamase family protein	SPO2170		
		hypothetical protein	SPO2311
transporter, AcrB/AcrD/AcrF family	SPO2332		
		6-aminohexanoate-cyclic-dimer hydrolase	SPO2527
		Unknown	SPO2582
oligopeptide/dipeptide ABC transporter, ATP-binding protein	SPO3778		
		uroporphyrinogen-III synthase, putative	SPO3853
		Unknown	SPO3901
		Unknown	SPOA0387
		Unknown	SPO0372
		TRAP dicarboxylate transporter, DctP subunit, putative	SPO2545
		Unknown	SPO3068
		Unknown	SPOA0337
ABC transporter, permease protein	SPO1496-DECOY		
Unknown	SPO1982		
		RNA polymerase sigma-32 factor	SPO0406-DECOY
		Unknown	SPO0436-DECOY
		Unknown	SPO0540-DECOY
		acyl-carrier domain protein	SPO0586-DECOY
		Unknown	SPO0642-DECOY
		GTP-binding protein YchF	SPO0817-DECOY
		Unknown	SPO1061-DECOY
		propionyl-CoA carboxylase, alpha subunit	SPO1101-DECOY
		Unknown	SPO1160-DECOY
		Unknown	SPO1580
		branched-chain amino acid ABC transporter, ATP-binding protein	SPO1937-DECOY
		Unknown	SPO2208-DECOY
		Unknown	SPO2400
		L-idonate 5-dehydrogenase	SPO2424-DECOY
		Sporulation related protein	SPO2925-DECOY
		malate dehydrogenase	SPO2932-DECOY
		Unknown	SPO3064
		ATP synthase F1, alpha subunit	SPO3164-DECOY
		Unknown	SPO3344-DECOY
		Unknown	SPO3368-DECOY
		Unknown	SPO3399
		hypothetical protein	SPO3611-DECOY
		glutamate synthase, small subunit	SPO3770-DECOY
		Unknown	SPOA0055
		Unknown	SPOA0086-DECOY
		Unknown	SPOA0172
