Significant_Overexpressed	Accession Number +	Significant_Underexpressed	Accession Number -
acetylornithine aminotransferase apoenzyme [Alteromonas macleodii]	VTP50422.1		
transcription termination factor Rho [Alteromonas macleodii]	VTP50500.1		
ATP-dependent RNA helicase CsdA [Alteromonas macleodii]	VTP50645.1		
		Unknown	VTP50706.1
hypothetical protein MIT1002_00755 [Alteromonas macleodii]	VTP50733.1		
aconitase [Alteromonas macleodii]	VTP50746.1		
		Unknown	VTP50883.1
		Protein of unknown function (DUF3192) [Alteromonas macleodii]	VTP50967.1
SSU ribosomal protein S2P [Alteromonas macleodii]	VTP50979.1		
periplasmic chaperone for outer membrane proteins Skp [Alteromonas macleodii]	VTP50988.1		
alanyl-tRNA synthetase [Alteromonas macleodii]	VTP51102.1		
		alpha subunit [Alteromonas macleodii]	VTP51106.1
		Unknown	VTP51308.1
		Unknown	VTP52152.1
Unknown	VTP52158.1		
		Unknown	VTP52318.1
		thiosulfate/3-mercaptopyruvate sulfurtransferase [Alteromonas macleodii]	VTP52900.1
		Unknown	VTP53319.1
		glucuronate isomerase [Alteromonas macleodii]	VTP53455.1
Unknown	VTP53949.1		
Isoleucyl-tRNA synthetase [Alteromonas macleodii]	VTP54040.1		
4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [Alteromonas macleodii]	VTP54116.1		
nucleoside diphosphate kinase [Alteromonas macleodii]	VTP54125.1		
		Unknown	VTP54223.1
pyruvate dehydrogenase E1 component [Alteromonas macleodii]	VTP54543.1		
DUF885 familyt [Alteromonas macleodii]	VTP54670.1		
		2-methylaconitate cis-trans isomerase [Alteromonas macleodii]	VTP54792.1
		Unknown	VTP54819.1
		Unknown	VTP54843.1
		hypothetical protein MIT1002_03189 [Alteromonas macleodii]	VTP54899.1
		hypothetical protein MIT1002_03382 [Alteromonas macleodii]	VTP55269.1
		Unknown	VTP55405.1
Unknown	VTP55471.1		
cold-shock DNA-binding protein family [Alteromonas macleodii]	VTP55744.1		
		Unknown	VTP55746.1
		Unknown	VTP55847.1
DNA-directed RNA polymerase subunit beta' [Alteromonas macleodii]	VTP55972.1		
		Unknown	VTP56010.1
		Unknown	VTP56146.1
		GTP cyclohydrolase I [Alteromonas macleodii]	VTP56228.1
		Unknown	VTP56476.1
		Unknown	VTP56490.1
FKBP-type peptidyl-prolyl cis-trans isomerase FkpA [Alteromonas macleodii]	VTP56520.1		
		Unknown	VTP56597.1
ATP synthase F1 subcomplex gamma subunit [Alteromonas macleodii]	VTP56732.1		
		Unknown	VTP50146.1
		Unknown	VTP50204.1
		Unknown	VTP50263.1
		catalase [Alteromonas macleodii]	VTP50446.1
		Unknown	VTP50457.1
		Unknown	VTP50484.1
		hypothetical protein MIT1002_00505 [Alteromonas macleodii]	VTP50488.1
		Unknown	VTP50493.1
		Unknown	VTP50497.1
		Unknown	VTP50525.1
		hypothetical protein MIT1002_00549 [Alteromonas macleodii]	VTP50531.1
		soluble lytic murein transglycosylase [Alteromonas macleodii]	VTP50555.1
		Unknown	VTP50766.1
