Significant_Overexpressed	Accession Number +	Significant_Underexpressed	Accession Number -
		VTP50018.1	VTP50018.1
VTP50149.1	VTP50149.1		
		VTP50160.1	VTP50160.1
		VTP50244.1	VTP50244.1
VTP50422.1	VTP50422.1		
		VTP50501.1	VTP50501.1
		VTP50600.1	VTP50600.1
		VTP50729.1	VTP50729.1
		VTP50774.1	VTP50774.1
		VTP50895.1	VTP50895.1
		VTP50924.1	VTP50924.1
VTP50979.1	VTP50979.1		
		VTP51074.1	VTP51074.1
		VTP51088.1	VTP51088.1
		VTP51106.1	VTP51106.1
VTP51608.1	VTP51608.1		
		VTP51813.1	VTP51813.1
		VTP52028.1	VTP52028.1
		VTP52186.1	VTP52186.1
		VTP52884.1	VTP52884.1
VTP52962.1	VTP52962.1		
VTP53289.1	VTP53289.1		
		VTP53831.1	VTP53831.1
		VTP54008.1	VTP54008.1
		VTP54026.1	VTP54026.1
		VTP54255.1	VTP54255.1
		VTP54523.1	VTP54523.1
VTP54577.1	VTP54577.1		
		VTP54792.1	VTP54792.1
		VTP54799.1	VTP54799.1
		VTP54887.1	VTP54887.1
		VTP55527.1	VTP55527.1
		VTP55538.1	VTP55538.1
		VTP56282.1	VTP56282.1
		VTP56336.1	VTP56336.1
		VTP58121.1	VTP58121.1
		VTP50055.1	VTP50055.1
		VTP50132.1	VTP50132.1
		VTP50136.1	VTP50136.1
		VTP50141.1	VTP50141.1
		VTP50153.1	VTP50153.1
		VTP50237.1	VTP50237.1
		VTP50331.1	VTP50331.1
		VTP50415.1	VTP50415.1
		VTP50436.1	VTP50436.1
		VTP50437.1	VTP50437.1
		VTP50452.1	VTP50452.1
		VTP50455.1	VTP50455.1
		VTP50456.1	VTP50456.1
		VTP50488.1	VTP50488.1
		VTP50582.1	VTP50582.1
		VTP50625.1	VTP50625.1
		VTP50627.1	VTP50627.1
		VTP50688.1	VTP50688.1
		VTP50689.1	VTP50689.1
		VTP50698.1	VTP50698.1
		VTP50761.1-DECOY	VTP50761.1-DECOY
		VTP50872.1	VTP50872.1
		VTP50968.1	VTP50968.1
		VTP51037.1	VTP51037.1
		VTP51082.1	VTP51082.1
		VTP51112.1	VTP51112.1
		VTP51116.1	VTP51116.1
		VTP51129.1	VTP51129.1
		VTP51346.1	VTP51346.1
		VTP51400.1	VTP51400.1
		VTP51508.1	VTP51508.1
		VTP51528.1	VTP51528.1
		VTP51574.1	VTP51574.1
		VTP51586.1	VTP51586.1
		VTP51750.1	VTP51750.1
		VTP51754.1	VTP51754.1
		VTP51803.1	VTP51803.1
		VTP52236.1	VTP52236.1
		VTP52394.1	VTP52394.1
		VTP52404.1	VTP52404.1
		VTP52410.1	VTP52410.1
		VTP52442.1	VTP52442.1
		VTP52444.1	VTP52444.1
		VTP52484.1	VTP52484.1
		VTP52838.1	VTP52838.1
		VTP53051.1	VTP53051.1
		VTP53502.1	VTP53502.1
		VTP53586.1	VTP53586.1
		VTP53608.1	VTP53608.1
		VTP53642.1	VTP53642.1
		VTP53813.1	VTP53813.1
		VTP53911.1-DECOY	VTP53911.1-DECOY
		VTP53957.1	VTP53957.1
		VTP53977.1	VTP53977.1
		VTP54030.1	VTP54030.1
		VTP54141.1	VTP54141.1
		VTP54149.1	VTP54149.1
		VTP54271.1	VTP54271.1
		VTP54436.1	VTP54436.1
		VTP54624.1	VTP54624.1
		VTP54684.1	VTP54684.1
		VTP54728.1	VTP54728.1
		VTP54738.1	VTP54738.1
		VTP54780.1	VTP54780.1
		VTP54815.1	VTP54815.1
		VTP54859.1	VTP54859.1
		VTP54891.1	VTP54891.1
		VTP55030.1	VTP55030.1
		VTP55074.1	VTP55074.1
		VTP55088.1	VTP55088.1
		VTP55205.1	VTP55205.1
		VTP55251.1	VTP55251.1
		VTP55295.1	VTP55295.1
		VTP55469.1-DECOY	VTP55469.1-DECOY
		VTP55519.1	VTP55519.1
		VTP55534.1-DECOY	VTP55534.1-DECOY
		VTP55580.1	VTP55580.1
		VTP55726.1	VTP55726.1
		VTP55762.1	VTP55762.1
		VTP55923.1	VTP55923.1
		VTP55929.1-DECOY	VTP55929.1-DECOY
		VTP55956.1	VTP55956.1
		VTP56238.1	VTP56238.1
		VTP56262.1	VTP56262.1
		VTP56334.1	VTP56334.1
		VTP56454.1	VTP56454.1
		VTP56480.1	VTP56480.1
		VTP56613.1	VTP56613.1
		VTP58110.1	VTP58110.1
		VTP58111.1	VTP58111.1
