Significant_Overexpressed	Accession Number +	Significant_Underexpressed	Accession Number -
Unknown	VTP50059.1		
Unknown	VTP50324.1		
		Unknown	VTP50701.1
Unknown	VTP50758.1		
		Unknown	VTP50821.1
		histidine ammonia-lyase [Alteromonas macleodii]	VTP50882.1
Outer membrane protein beta-barrel domain-containing protein [Alteromonas macleodii]	VTP50893.1		
Unknown	VTP50936.1		
Unknown	VTP50938.1		
Unknown	VTP51033.1		
Unknown	VTP51059.1		
		Unknown	VTP51068.1
indole-3-glycerol phosphate synthase [Alteromonas macleodii]	VTP51502.1		
maltose O-acetyltransferase [Alteromonas macleodii]	VTP51522.1		
		guanine deaminase [Alteromonas macleodii]	VTP51768.1
Unknown	VTP51811.1		
Unknown	VTP51875.1		
Unknown	VTP51877.1		
hypothetical protein MIT1002_01649 [Alteromonas macleodii]	VTP51926.1		
beta-aspartyl-peptidase (threonine type) [Alteromonas macleodii]	VTP51985.1		
Unknown	VTP52062.1		
Protein of unknown function (DUF3718) [Alteromonas macleodii]	VTP52136.1		
Unknown	VTP52446.1		
lipoprotein NlpI [Alteromonas macleodii]	VTP52448.1		
		Unknown	VTP52976.1
Unknown	VTP53067.1		
Unknown	VTP53291.1		
Unknown	VTP53570.1		
Unknown	VTP53986.1		
Unknown	VTP54137.1		
Unknown	VTP54177.1		
		hypothetical protein MIT1002_02951 [Alteromonas macleodii]	VTP54442.1
		Unknown	VTP55115.1
		Na+-transporting NADH:ubiquinone oxidoreductase subunit C [Alteromonas macleodii]	VTP55477.1
		enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [Alteromonas macleodii]	VTP55483.1
Unknown	VTP55618.1		
Unknown	VTP55632.1		
Unknown	VTP55722.1		
		Unknown	VTP55752.1
		hypothetical protein MIT1002_03870 [Alteromonas macleodii]	VTP56246.1
Unknown	VTP56490.1		
Unknown	VTP56510.1		
Unknown	VTP50192.1		
		beta-galactosidase [Alteromonas macleodii]	VTP50223.1
Unknown	VTP50223.1-DECOY		
		Unknown	VTP50272.1
Unknown	VTP50276.1		
Unknown	VTP50288.1-DECOY		
Unknown	VTP50289.1		
		Unknown	VTP50417.1
		Unknown	VTP50503.1
Unknown	VTP50606.1		
Unknown	VTP50666.1		
Unknown	VTP50702.1		
Unknown	VTP50766.1		
Unknown	VTP50851.1		
		Unknown	VTP50868.1
Unknown	VTP50956.1		
Unknown	VTP51028.1-DECOY		
		Unknown	VTP51092.1-DECOY
Unknown	VTP51094.1		
		Unknown	VTP51132.1
Unknown	VTP51174.1		
Unknown	VTP51206.1		
Unknown	VTP51241.1		
Unknown	VTP51508.1		
		Unknown	VTP51542.1
Unknown	VTP51590.1		
Unknown	VTP51616.1		
		2-dioxygenase [Alteromonas macleodii]	VTP51738.1
Unknown	VTP51813.1-DECOY		
Unknown	VTP51855.1		
Unknown	VTP51887.1		
Unknown	VTP51924.1		
Unknown	VTP51977.1-DECOY		
		Unknown	VTP51983.1-DECOY
		Unknown	VTP52008.1
Unknown	VTP52176.1		
Unknown	VTP52184.1		
		Unknown	VTP52368.1
		Unknown	VTP52374.1
		Unknown	VTP52400.1
Unknown	VTP52506.1-DECOY		
Unknown	VTP52680.1-DECOY		
Unknown	VTP52684.1-DECOY		
Unknown	VTP52806.1-DECOY		
Unknown	VTP52970.1-DECOY		
Unknown	VTP53057.1		
Unknown	VTP53149.1-DECOY		
		Unknown	VTP53283.1
		Unknown	VTP53443.1
Unknown	VTP53653.1		
		Unknown	VTP53747.1
		Unknown	VTP53813.1
Unknown	VTP53815.1		
Unknown	VTP54231.1		
Unknown	VTP54233.1		
Unknown	VTP54271.1		
		Unknown	VTP54559.1
		Unknown	VTP54614.1
		Unknown	VTP54651.1
Unknown	VTP54702.1		
Unknown	VTP54827.1		
Unknown	VTP55088.1		
		Unknown	VTP55213.1
Unknown	VTP55431.1		
Unknown	VTP55469.1-DECOY		
		Unknown	VTP55534.1
Unknown	VTP55956.1		
		arginine decarboxylase [Alteromonas macleodii]	VTP56316.1-DECOY
Unknown	VTP56434.1		
Unknown	VTP56486.1		
		Unknown	VTP50448.1
