Significant_Overexpressed	Accession Number +	Significant_Underexpressed	Accession Number -
outer membrane protein [Alteromonas macleodii]	VTP50024.1		
Unknown	VTP50697.1		
		Unknown	VTP50925.1
		methyl-accepting chemotaxis sensory transducer with Cache sensor [Alteromonas macleodii]	VTP51092.1
		alpha subunit [Alteromonas macleodii]	VTP51106.1
		alcohol dehydrogenase (cytochrome c) [Alteromonas macleodii]	VTP51165.1
		peroxiredoxin (alkyl hydroperoxide reductase subunit C) [Alteromonas macleodii]	VTP52182.1
		Unknown	VTP52568.1
Unknown	VTP52600.1		
		Unknown	VTP52612.1
Unknown	VTP52636.1		
ribonucleoside-diphosphate reductase class Ia beta subunit [Alteromonas macleodii]	VTP52988.1		
Unknown	VTP53219.1		
Unknown	VTP53239.1		
		Unknown	VTP53451.1
Unknown	VTP53514.1		
molecular chaperone HtpG [Alteromonas macleodii]	VTP53863.1		
		type IV pilus assembly protein PilY1 [Alteromonas macleodii]	VTP54026.1
		isocitrate lyase [Alteromonas macleodii]	VTP54201.1
		glutamate synthase (NADPH) large subunit [Alteromonas macleodii]	VTP54799.1
		Phosphoenolpyruvate carboxylase [Alteromonas macleodii]	VTP55487.1
		acetyl-coenzyme A synthetase [Alteromonas macleodii]	VTP55538.1
		5 [Alteromonas macleodii]	VTP55849.1
		Unknown	VTP56424.1
		ketol-acid reductoisomerase [Alteromonas macleodii]	VTP56595.1
		Unknown	VTP58122.1
		Uncharacterized conserved protein [Alteromonas macleodii]	VTP50392.1
		type IV pilus assembly protein PilQ [Alteromonas macleodii]	VTP50434.1
		Unknown	VTP50438.1
		argininosuccinate lyase [Alteromonas macleodii]	VTP50452.1
		Outer membrane receptor proteins [Alteromonas macleodii]	VTP50482.1
Unknown	VTP50614.1		
Unknown	VTP50766.1		
		hypothetical protein MIT1002_00884 [Alteromonas macleodii]	VTP50861.1
		Unknown	VTP50872.1
		Unknown	VTP50977.1
Unknown	VTP51177.1		
Unknown	VTP51514.1		
		propionyl-CoA synthetase [Alteromonas macleodii]	VTP51574.1
		Unknown	VTP51792.1
Unknown	VTP52952.1		
		Unknown	VTP53020.1
		hypothetical protein MIT1002_02607 [Alteromonas macleodii]	VTP53783.1
		Outer membrane receptor proteins [Alteromonas macleodii]	VTP53855.1
		Fis family [Alteromonas macleodii]	VTP54893.1
		Unknown	VTP55251.1
Unknown	VTP55289.1		
Unknown	VTP55399.1		
		aminoacrylate peracid reductase [Alteromonas macleodii]	VTP55437.1
		hypothetical protein MIT1002_03532 [Alteromonas macleodii]	VTP55570.1
		Unknown	VTP55580.1
Unknown	VTP52824.1		
Unknown	VTP53187.1		
Unknown	VTP56250.1		
