Value	Annotation	Predicted	Residual
51.0	outer membrane protein [Alteromonas macleodii]	103.84455130001454	-79.84455130001454
37.333333333333336	M28 family [Alteromonas macleodii]	75.72297342422588	-61.05630675755922
50.666666666666664	inorganic pyrophosphatase [Alteromonas macleodii]	103.15865915670263	-44.158659156702626
38.0	succinylglutamic semialdehyde dehydrogenase [Alteromonas macleodii]	77.0947577108497	-67.0947577108497
32.333333333333336	Outer membrane receptor proteins [Alteromonas macleodii]	65.43459127454709	71.23207539211957
29.333333333333332	Esterase-like activity of phytase [Alteromonas macleodii]	59.261561984739814	45.40510468192686
33.666666666666664	outer membrane protein [Alteromonas macleodii]	68.17815984779476	50.15517348553857
20.666666666666668	hypothetical protein MIT1002_00755 [Alteromonas macleodii]	41.42836625862992	74.9049670747034
42.0	TonB-dependent receptor [Alteromonas macleodii]	85.32546343059273	73.00786990274061
31.333333333333332	outer membrane receptor for ferrienterochelin and colicins [Alteromonas macleodii]	63.376914844611335	54.956418488721994
83.33333333333333	phosphoribosylformylglycinamidine synthase [Alteromonas macleodii]	170.37608920127067	-142.37608920127067
32.666666666666664	TonB-dependent Receptor Plug Domain [Alteromonas macleodii]	66.120483417859	-40.120483417859006
89.0	TonB-dependent Receptor Plug Domain [Alteromonas macleodii]	182.0362556375733	130.9637443624267
26.0	Outer membrane receptor proteins [Alteromonas macleodii]	52.40264055162062	40.26402611504605
29.666666666666668	alcohol dehydrogenase (cytochrome c) [Alteromonas macleodii]	59.94745412805173	53.05254587194827
32.333333333333336	peroxiredoxin (alkyl hydroperoxide reductase subunit C) [Alteromonas macleodii]	65.43459127454709	-53.767924607880424
66.33333333333333	catecholate siderophore receptor [Alteromonas macleodii]	135.3955898923628	191.6044101076372
35.666666666666664	molecular chaperone DnaK [Alteromonas macleodii]	72.29351270766627	-48.626846040999595
25.333333333333332	Imidazolonepropionase [Alteromonas macleodii]	51.030856264996785	-42.69752293166345
55.0	iron complex outermembrane recepter protein [Alteromonas macleodii]	112.07525701975757	61.92474298024243
24.666666666666668	iron complex outermembrane recepter protein [Alteromonas macleodii]	49.65907197837295	61.00759468829372
32.666666666666664	hypothetical protein MIT1002_01782 [Alteromonas macleodii]	66.120483417859	-42.78715008452568
32.0	Outer membrane receptor proteins [Alteromonas macleodii]	64.74869913123517	84.58463420209817
93.66666666666667	beta subunit [Alteromonas macleodii]	191.63874564394018	-47.972078977273526
62.0	L-alanine dehydrogenase [Alteromonas macleodii]	126.47899202930788	-102.47899202930788
37.0	iron complex outermembrane recepter protein [Alteromonas macleodii]	75.03708128091395	62.629585385752705
66.66666666666667	TonB-dependent Receptor Plug Domain [Alteromonas macleodii]	136.08148203567475	-66.74814870234142
26.666666666666668	hypothetical protein MIT1002_02385 [Alteromonas macleodii]	53.77442483824447	64.55890849508886
39.333333333333336	GMP synthase (glutamine-hydrolyzing) [Alteromonas macleodii]	79.83832628409739	-68.50499295076406
57.333333333333336	glycine dehydrogenase [Alteromonas macleodii]	116.87650202294101	-99.20983535627434
143.33333333333334	dihydrolipoamide dehydrogenase [Alteromonas macleodii]	293.8366749974161	-160.83667499741608
25.333333333333332	iron complex outermembrane recepter protein [Alteromonas macleodii]	51.030856264996785	41.30247706833654
37.666666666666664	iron complex outermembrane recepter protein [Alteromonas macleodii]	76.40886556753779	95.59113443246221
82.33333333333333	dipeptidyl-peptidase IV Serine peptidase. MEROPS family S09B [Alteromonas macleodii]	168.31841277133492	-119.98507943800158
267.6666666666667	Carboxypeptidase regulatory-like domain-containing protein [Alteromonas macleodii]	549.6744444527618	207.3255555472382
13.666666666666666	hypothetical protein MIT1002_03517 [Alteromonas macleodii]	27.02463124907963	46.64203541758704
53.0	oligopeptidase A Metallo peptidase. MEROPS family M03A [Alteromonas macleodii]	107.95990415988607	-84.2932374932194
37.0	iron complex outermembrane recepter protein [Alteromonas macleodii]	75.03708128091395	48.62958538575272
31.0	Imidazolonepropionase [Alteromonas macleodii]	62.69102270129942	-51.35768936796608
57.333333333333336	aminopeptidase B. Metallo peptidase. MEROPS family M17 [Alteromonas macleodii]	116.87650202294101	-57.20983535627435
33.666666666666664	ferric enterobactin receptor [Alteromonas macleodii]	68.17815984779476	58.15517348553857
83.0	OOP family [Alteromonas macleodii]	169.69019705795876	75.30980294204124
47.0	chaperonin GroEL [Alteromonas macleodii]	95.61384558027152	-68.61384558027152
81.33333333333333	hypothetical protein MIT1002_04057 [Alteromonas macleodii]	166.26073634139917	-72.26073634139917
70.66666666666667	protein of unknown function (DUF1259) [Alteromonas macleodii]	144.31218775541777	-44.97885442208444
