Value	Annotation	Predicted	Residual
506.8191675910995	chaperone protein DnaK	376.67578807440503	-82.42222749687187
210.3586551693904	translation initiation factor IF-2	159.69131934527977	74.1376800821391
137.42531726154394	betaine aldehyde dehydrogenase	106.31017441875234	-97.03570689338596
135.73704555071419	poly(3-hydroxyalkanoate) polymerase	105.07449976767533	-97.2052545946372
109.40000686176965	PAN domain protein	85.79797521087379	122.1749329337055
62.80370764286776	enoyl-CoA hydratase	51.693354841147936	82.64590204143167
140.46420634103757	alanine dehydrogenase	108.53438879069101	-98.4167878539277
206.98211174773087	PaxA, putative	157.21997004312576	-97.91958677487409
99.94568528112289	Lysine dehydrogenase	78.87819716484245	-78.31610822391116
293.75927768438146	alpha-aminoadipic semialdehyde dehydrogenase	220.73364710848472	-215.3938021696374
208.67038345856062	acetyl-CoA acetyltransferase	158.45564469420276	166.43176316408596
145.86667581569284	2-oxoglutarate dehydrogenase, E3 component, dihydrolipoamide dehydrogenase	112.48854767413746	131.73909716051043
144.51605844702902	2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase	111.50000795327585	82.70172113848673
242.4358176751562	2-oxoglutarate dehydrogenase, E1 component	183.1691377157432	98.99951063176712
121.89321752190999	succinyl-CoA synthase, alpha subunit	94.94196762884374	204.65143788753673
189.42408595510113	succinyl-CoA synthase, beta subunit	144.3689536719247	155.5054963149215
235.3450764896711	malate dehydrogenase, NAD-dependent	177.9793041812197	170.23479472571788
294.0969320265474	succinate dehydrogenase, flavoprotein subunit	220.9807820387001	123.01764981125268
241.42285464865833	type I secretion target repeat protein	182.42773292509702	-177.93102139764665
131.68519344472273	glutamate/leucine/phenylalanine/valine dehydrogenase family protein	102.10888060509049	-100.70365825276225
116.82840238942067	2-isopropylmalate synthase	91.23494367561268	99.87529624102775
219.13766806570524	ribosomal protein L2	166.1168275308803	93.56826317937822
361.6278004597386	glutamate/glutamine/aspartate/asparagine ABC transporter, periplasmic substrate-binding protein	270.40776808178106	136.82566962294254
199.89137056224578	pyruvate ferredoxin/flavodoxin oxidoreductase family protein	152.03013650860223	-151.1870030972053
48.95987961406358	sugar ABC transporter, periplasmic sugar-binding protein	41.560822702316344	353.0256138314531
6.753086843319115	sugar ABC transporter, ATP-binding protein	10.668956425390759	102.02987623133397
414.97718652195954	aminomethyl transferase family protein	309.45508705581494	-270.1088611906243
119.86729146891426	aerobic glycerol-3-phosphate dehydrogenase	93.45915804755131	99.05630422141738
154.30803436984175	phenylacetic acid degradation protein PaaZ	118.66692092952259	-82.97427318038532
71.58272053918262	L-lactate dehydrogenase, putative	58.11886302674846	109.94573031170891
22.62284092511903	branched-chain amino acid ABC transporter, periplasmic substrate-binding protein	22.284298145514775	133.13329402198843
133.03581081338655	chaperonin, 10 kDa	103.0974203259521	146.18902497707745
1396.8760135405587	chaperonin, 60 kDa	1028.1234641222118	85.93681680361578
191.45001200809688	sulfate adenylyltransferase	145.85176325321711	174.81997754808694
295.4475493952113	carbamoyl-phosphate synthase, large subunit	221.96932175956178	175.14651500839844
173.89198621546717	aspartyl-tRNA synthetase	133.00074688201605	82.56036196513574
63.479016327199666	phosphomannomutase/phosphoglucomutase	52.18762470157874	87.21043264938255
108.04938949310583	hypothetical protein	84.80943549001216	190.61414556632263
180.6450730587863	prolyl-tRNA synthetase	137.94344548632415	101.78748782087337
506.14385890676766	pyruvate carboxylase	376.1815182139743	423.10895579032785
20.934569214289255	oligopeptide ABC transporter, periplasmic oligopeptide-binding protein	21.048623494437756	82.93783057785188
198.87840753574793	hypothetical protein	151.28873171795604	-137.23650819467366
119.19198278458236	polyphosphate kinase 2	92.96488818712052	-87.62504324827322
71.24506619701664	thymidylate synthase, flavin-dependent	57.87172809653305	82.08841819535954
176.25556661062888	cold shock family protein	134.7306913935239	84.20295109921568
254.92902833529652	phasin, PhaP	192.31313013371317	352.0700091582465
26.337038688944542	hypothetical protein	25.002782377884227	96.12738439280994
103.32222870278244	ketol-acid reductoisomerase	81.34954646699649	234.8254828068572
25.661730004612632	tyrosinase domain protein	24.50851251745342	96.62165425324076
103.99753738711435	L-carnitine dehydrogenase	81.8438163274273	-79.31441609323647
9.116667238480803	TRAP dicarboxylate transporter, DctP subunit, putative	12.39890093689859	89.62024184213153
107.37408080877391	peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein	84.31516562958134	356.08151959008865
116.82840238942067	citrate lyase, putative	91.23494367561268	-85.33300979583409
16.545062766131828	oligopeptide/dipeptide ABC transporter, ATP-binding protein	17.835869401637495	94.30087431415595
81.37469646199533	oligopeptide/dipeptide ABC transporter, periplasmic substrate-binding protein	65.28577600299519	140.15773190739327
257.6302630726242	glutamate dehydrogenase	194.29020957543642	140.99584369008133
20.596914872123296	3-hydroxybenzoate/3,4-dihydroxybenzoate TRAP transporter solute-binding protein	20.801488564222346	79.81243186247954
170.17778845164167	pyridine nucleotide-disulfide oxidoreductase family protein	130.2822626496466	-88.12559207979945
172.2037145046374	dihydroorotate dehydrogenase family protein	131.76507223093904	-102.25540283204603
67.53086843319115	ABC transporter, periplasmic substrate-binding protein	55.1532438641636	74.12721255003437
61.11543593203798	acetyl-coenzyme A synthetase	50.45768019007092	102.99260068417276
52.33642303572313	twin-arginine translocation pathway signal sequence domain protein	44.03217200447038	207.78367353275002
128.98395870739506	metFprotein-like protein	100.13180116336724	-99.2886677519703
334.2777987442961	pyruvate ferredoxin/flavodoxin oxidoreductase family protein	250.38983873433324	-169.4490312402267
113.11420462559516	branched-chain amino acid ABC transporter, periplasmic substrate-binding protein	88.51645944324324	136.03807245880927
215.08581595971378	alanyl-tRNA synthetase	163.15120836829544	85.57314799380276
65.16728803802945	glucose-6-phosphate isomerase	53.423299352655775	96.09235893506882
8.779012896314848	nitrogen regulation protein NtrC	12.151766006683186	121.90644640543077
135.73704555071419	trimethylamine methyltransferase family protein	105.07449976767533	-104.79345529720969
191.78766635026284	no change	146.0988981834325	-141.60218665598214
1057.8710540059392	outer membrane protein, putative	779.9999941859454	-359.27642189887075
230.61791569934775	citrate synthase I	174.51941515820405	94.72118754788644
224.87779188252648	TRAP transporter solute receptor, TAXI family	170.31812134454216	296.77778856936436
158.35988647583324	BNR/Asp-box repeat domain protein	121.63254009210746	111.3533259239145
207.31976608989677	UvrABC system protein A	157.46710497334112	-137.7939920407458
147.55494752652262	pyruvate dehydrogenase complex, E3 component, lipoamide dehydrogenase, putative	113.7242223252145	107.45777593125024
