Value	Annotation	Predicted	Residual
190.0	chaperone protein DnaK	450.2916802582732	-414.2916802582732
444.6666666666667	PaxA, putative	1062.1873963531434	3363.1459369801896
80.66666666666667	malate dehydrogenase, NAD-dependent	187.5929958615227	-164.5929958615227
62.333333333333336	peptidyl-dipeptidase, putative	143.54291158767734	-133.87624492101068
84.33333333333333	cold shock family protein	196.40301271629176	-128.73634604962507
104.66666666666667	ribosomal protein L2	245.2585607291021	-138.9252273957688
150.33333333333334	aminomethyl transferase family protein	354.98331610213506	-344.3166494354684
405.6666666666667	chaperonin, 60 kDa	968.4808534433269	-882.4808534433269
73.33333333333333	carbamoyl-phosphate synthase, large subunit	169.97296215198452	-165.97296215198452
68.33333333333333	aspartyl-tRNA synthetase	157.9593028045722	-141.29263613790553
81.66666666666667	hypothetical protein	189.99572773100516	131.67093893566152
114.0	pyruvate carboxylase	267.68405817760515	-231.3507248442718
74.33333333333333	oligoendopeptidase F	172.37569402146698	-157.37569402146698
107.66666666666667	citrate synthase I	252.4667563375495	-159.4667563375495
0.3333333333333333	gene transfer agent	-5.426464320236072	232.42646432023608
81.33333333333333	trigger factor	189.1948171078443	-156.52815044117764
48.333333333333336	bacterial extracellular solute-binding protein, family 7	109.90466541492269	378.0953345850773
77.33333333333333	peptide/nickel/opine uptake family ABC transporter, periplasmic substrate-binding protein	179.58388962991444	-152.91722296324778
243.66666666666666	hypothetical protein	579.238290587166	-507.9049572538327
101.0	formate--tetrahydrofolate ligase	236.44854387433298	-221.78187720766633
87.33333333333333	ribosomal protein S4	203.61120832473915	-160.61120832473915
123.0	Manganese ABC transporter, periplasmic protein	289.3086450029474	-279.9753116696141
135.33333333333334	polyribonucleotide nucleotidyltransferase	318.94233805989796	-281.60900472656465
113.33333333333333	translation elongation factor G	266.0822369312835	-230.0822369312835
104.66666666666667	ribosomal protein S7	245.2585607291021	-210.59189406243544
145.33333333333334	oligopeptide/dipeptide ABC transporter, periplasmic substrate-binding protein	342.9696567547227	-275.63632342138936
88.33333333333333	Unknown	206.01394019422162	-140.6806068608883
126.33333333333333	Unknown	297.31775123455566	-198.31775123455566
84.33333333333333	Unknown	196.40301271629176	-144.7363460496251
