Value	Annotation	Predicted	Residual
500.3333333333333	chaperone protein DnaK	446.757041036141	-97.757041036141
207.66666666666666	translation initiation factor IF-2	189.40219565097757	87.93113768235574
135.66666666666666	betaine aldehyde dehydrogenase	126.08938630793054	-115.08938630793054
134.0	poly(3-hydroxyalkanoate) polymerase	124.62381201758224	-115.29047868424891
108.0	PAN domain protein	101.7608530881486	144.90581357851806
62.0	enoyl-CoA hydratase	61.31100267453522	98.02233065879813
138.66666666666666	alanine dehydrogenase	128.7274200305575	-116.72742003055751
204.33333333333334	PaxA, putative	186.47104707028097	-116.13771373694765
98.66666666666667	Lysine dehydrogenase	93.55363706219805	-92.88697039553138
290.0	alpha-aminoadipic semialdehyde dehydrogenase	261.8015655941842	-255.46823226085084
206.0	acetyl-CoA acetyltransferase	187.9366213606293	197.39671197270403
144.0	2-oxoglutarate dehydrogenase, E3 component, dihydrolipoamide dehydrogenase	133.4172577596721	156.24940890699457
142.66666666666666	2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase	132.24479832739345	98.08853500593989
239.33333333333334	2-oxoglutarate dehydrogenase, E1 component	217.24810716759552	117.41855949907116
120.33333333333333	succinyl-CoA synthase, alpha subunit	112.6061028367261	242.7272304966072
187.0	succinyl-CoA synthase, beta subunit	171.22907445065854	184.43759221600814
232.33333333333334	malate dehydrogenase, NAD-dependent	211.0926951481326	201.9073048518674
290.3333333333333	succinate dehydrogenase, flavoprotein subunit	262.09468045225384	145.90531954774616
238.33333333333334	type I secretion target repeat protein	216.36876259338652	-211.03542926005318
130.0	glutamate/leucine/phenylalanine/valine dehydrogenase family protein	121.1064337207463	-119.43976705407962
115.33333333333333	2-isopropylmalate synthase	108.20937996568115	118.4572867009855
216.33333333333334	ribosomal protein L2	197.0231819607888	110.9768180392112
357.0	glutamate/glutamine/aspartate/asparagine ABC transporter, periplasmic substrate-binding protein	320.71765206618625	162.28234793381375
197.33333333333334	pyruvate ferredoxin/flavodoxin oxidoreductase family protein	180.31563505081806	-179.31563505081806
48.333333333333336	sugar ABC transporter, periplasmic sugar-binding protein	49.29329349367906	418.7067065063209
