Value	Annotation	Predicted	Residual
73.53784494086727	outer membrane protein [Alteromonas macleodii]	79.48425372593903	-61.114276047367596
53.831625054752514	M28 family [Alteromonas macleodii]	57.95955548158706	-46.733458011348965
73.05720543144983	inorganic pyrophosphatase [Alteromonas macleodii]	78.95926108583286	-33.79973262601143
54.79290407358738	succinylglutamic semialdehyde dehydrogenase [Alteromonas macleodii]	59.00954076179935	-51.35538339572792
46.62203241349101	Outer membrane receptor proteins [Alteromonas macleodii]	50.08466587999487	54.52215145631463
42.296276828734115	Esterase-like activity of phytase [Alteromonas macleodii]	45.35973211903956	34.753781645841386
48.544590451160744	outer membrane protein [Alteromonas macleodii]	52.18463644041945	38.389559058092445
29.799649583880857	hypothetical protein MIT1002_00755 [Alteromonas macleodii]	31.709923476279783	57.33344054901784
60.56057818659657	TonB-dependent receptor [Alteromonas macleodii]	65.30945244307308	55.881372519724536
45.18011388523871	outer membrane receptor for ferrienterochelin and colicins [Alteromonas macleodii]	48.509687959676434	42.064507538835464
120.15987735435829	phosphoribosylformylglycinamidine synthase [Alteromonas macleodii]	130.40853981623516	-108.97689919123516
47.10267192290845	TonB-dependent Receptor Plug Domain [Alteromonas macleodii]	50.60965852010102	-30.708849368315306
128.33074901445465	TonB-dependent Receptor Plug Domain [Alteromonas macleodii]	139.33341469803963	100.24171085999606
37.48988173455979	Outer membrane receptor proteins [Alteromonas macleodii]	40.10980571797811	30.81871920761713
42.77691633815155	alcohol dehydrogenase (cytochrome c) [Alteromonas macleodii]	45.88472475914571	40.60725347746144
46.62203241349101	peroxiredoxin (alkyl hydroperoxide reductase subunit C) [Alteromonas macleodii]	50.08466587999487	-41.15481561957821
95.6472623740692	catecholate siderophore receptor [Alteromonas macleodii]	103.63391517082172	146.65703069971397
51.42842750766534	molecular chaperone DnaK [Alteromonas macleodii]	55.334592281056324	-37.21975318135394
36.528602715724915	Imidazolonepropionase [Alteromonas macleodii]	39.059820437765815	-32.681355966039625
79.30551905387647	iron complex outermembrane recepter protein [Alteromonas macleodii]	85.78416540721277	47.39817276243009
35.56732369689005	iron complex outermembrane recepter protein [Alteromonas macleodii]	38.009835157553525	46.696173026970285
47.10267192290845	hypothetical protein MIT1002_01782 [Alteromonas macleodii]	50.60965852010102	-32.74995799926769
46.141392904073584	Outer membrane receptor proteins [Alteromonas macleodii]	49.55967323988873	64.74241009344459
135.05970214629872	beta subunit [Alteromonas macleodii]	146.68331165952569	-36.71858416696617
89.39894875164256	L-alanine dehydrogenase [Alteromonas macleodii]	96.80901084944182	-78.43903317087039
53.350985545335085	iron complex outermembrane recepter protein [Alteromonas macleodii]	57.434562841480925	47.93767023143573
96.12790188348663	TonB-dependent Receptor Plug Domain [Alteromonas macleodii]	104.15890781092786	-51.09008340616595
38.45116075339465	hypothetical protein MIT1002_02385 [Alteromonas macleodii]	41.1597909981904	49.414404500321496
56.71546211125711	GMP synthase (glutamine-hydrolyzing) [Alteromonas macleodii]	61.10951132222393	-52.43479964067631
82.6699956197985	glycine dehydrogenase [Alteromonas macleodii]	89.45911388795578	-75.93676920789626
206.67498904949628	dihydrolipoamide dehydrogenase [Alteromonas macleodii]	224.90721503534138	-123.10692206659138
36.528602715724915	iron complex outermembrane recepter protein [Alteromonas macleodii]	39.059820437765815	31.613565908960375
54.312264564169936	iron complex outermembrane recepter protein [Alteromonas macleodii]	58.484548121693194	73.16695857473539
118.71795882610598	dipeptidyl-peptidase IV Serine peptidase. MEROPS family S09B [Alteromonas macleodii]	128.83356189591672	-91.83846795990482
385.9535260621989	Carboxypeptidase regulatory-like domain-containing protein [Alteromonas macleodii]	420.7294697949337	158.6902428166734
19.706219886114756	hypothetical protein MIT1002_03517 [Alteromonas macleodii]	20.68507803405072	35.70054789600881
76.42168199737186	oligopeptidase A Metallo peptidase. MEROPS family M03A [Alteromonas macleodii]	82.63420956657589	-64.51937046687351
53.350985545335085	iron complex outermembrane recepter protein [Alteromonas macleodii]	57.434562841480925	37.221849918935746
44.69947437582128	Imidazolonepropionase [Alteromonas macleodii]	47.98469531957029	-39.30998363802267
82.6699956197985	aminopeptidase B. Metallo peptidase. MEROPS family M17 [Alteromonas macleodii]	89.45911388795578	-43.789308270396255
48.544590451160744	ferric enterobactin receptor [Alteromonas macleodii]	52.18463644041945	44.5128849509496
119.67923784494084	OOP family [Alteromonas macleodii]	129.88354717612899	57.643308292621015
67.77017082785808	chaperonin GroEL [Alteromonas macleodii]	73.18434204466529	-52.518117156272424
117.27604029785368	hypothetical protein MIT1002_04057 [Alteromonas macleodii]	127.25858397559826	-55.30950473452684
101.89557599649584	protein of unknown function (DUF1259) [Alteromonas macleodii]	110.45881949220161	-34.42752298922542
