Value	Annotation	Predicted	Residual
238.0	DNA gyrase subunit B [Alteromonas macleodii]	232.42852193535037	-59.428521935350375
257.3333333333333	outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid [Alteromonas macleodii]	251.4410247094957	-136.1076913761624
208.66666666666666	hypothetical protein MIT1002_00114 [Alteromonas macleodii]	203.58196600216434	-79.24863266883101
118.0	iron(III) transport system substrate-binding protein [Alteromonas macleodii]	114.41988402686209	-68.75321736019544
74.0	Acyl-CoA hydrolase [Alteromonas macleodii]	71.15005012708306	55.51661653958361
96.33333333333333	homodimeric glycerol 3-phosphate dehydrogenase (quinone) [Alteromonas macleodii]	93.11276884894059	-84.11276884894059
227.33333333333334	phosphoglycerate mutase [Alteromonas macleodii]	221.93886523237367	45.39446810095964
195.0	aconitase [Alteromonas macleodii]	190.1420933514754	109.1912399818579
159.66666666666666	LSU ribosomal protein L3P [Alteromonas macleodii]	155.39510552286495	47.271561143801705
334.6666666666667	LSU ribosomal protein L2P [Alteromonas macleodii]	327.4910358060771	105.17563086058959
78.0	SSU ribosomal protein S17P [Alteromonas macleodii]	75.08367139069935	80.24966194263399
263.6666666666667	nitrogen regulatory protein P-II family [Alteromonas macleodii]	257.6692583768882	-45.669258376888195
211.66666666666666	nickel superoxide dismutase [Alteromonas macleodii]	206.53218194987656	-159.53218194987656
85.33333333333333	assimilatory nitrite reductase (NAD(P)H) large subunit precursor [Alteromonas macleodii]	82.29531037399585	-79.29531037399585
214.66666666666666	TonB-dependent receptor [Alteromonas macleodii]	209.48239789758875	47.18426876907793
194.33333333333334	outer membrane receptor for ferrienterochelin and colicins [Alteromonas macleodii]	189.48648980753939	-102.81982314087271
143.33333333333334	2-isopropylmalate synthase [Alteromonas macleodii]	139.33281869643184	-89.9994853630985
305.0	enolase [Alteromonas macleodii]	298.316678100923	-69.65001143425636
224.66666666666666	UDP-glucose pyrophosphorylase [Alteromonas macleodii]	219.31645105662946	49.68354894337054
358.6666666666667	translation elongation factor Ts (EF-Ts) [Alteromonas macleodii]	351.09276338777477	-51.09276338777477
92.33333333333333	flagellum-specific ATP synthase [Alteromonas macleodii]	89.17914758532433	-48.512480918657666
538.3333333333334	TonB-dependent Receptor Plug Domain [Alteromonas macleodii]	527.7779184785392	-140.44458514520585
296.0	Protein of unknown function (DUF3450) [Alteromonas macleodii]	289.4660302577864	-50.13269692445303
126.66666666666667	alcohol dehydrogenase (cytochrome c) [Alteromonas macleodii]	122.9427300980307	56.39060323530265
262.0	PrkA [Alteromonas macleodii]	256.03024951704805	-57.696916183714706
