Value	Annotation	Predicted	Residual
274.6666666666667	translation initiation factor IF-2	261.0590888984035	-53.392422231736845
85.0	hypothetical protein	81.5263360514374	67.80699728189595
138.0	3-isopropylmalate dehydratase, large subunit	131.69453939531718	87.97212727134948
36.333333333333336	PaxA, putative	35.45993549667984	168.8733978366535
178.66666666666666	alpha-aminoadipic semialdehyde dehydrogenase	170.18838095477213	119.81161904522787
74.0	hypothetical protein	71.1140674328963	-64.44740076622963
161.33333333333334	electrotransfer ubiquinone oxidoreductase family protein	153.78116979828314	70.5521635350502
182.66666666666666	succinate dehydrogenase, flavoprotein subunit	173.97466045242345	116.35867288090986
21.0	type I secretion target repeat protein	20.9458640890165	217.38746924431683
299.6666666666667	cold shock family protein	284.72333575872415	-94.72333575872415
13.0	universal stress family protein	13.373305093713888	55.62669490628611
517.6666666666666	glutamate/glutamine/aspartate/asparagine ABC transporter, periplasmic substrate-binding protein	491.0755683807203	-134.0755683807203
56.0	pyruvate ferredoxin/flavodoxin oxidoreductase family protein	54.07580969346542	143.2575236398679
51.333333333333336	dehydrogenase/transketolase family protein	49.65848361287224	58.34151638712776
182.0	sugar ABC transporter, periplasmic sugar-binding protein	173.34361386948154	-125.0102805361482
17.666666666666668	monooxygenase family protein	17.79063117430708	71.87603549235959
218.33333333333334	phosphoenolpyruvate carboxykinase (ATP)	207.73565263981425	-73.73565263981425
71.33333333333333	phenylacetic acid degradation protein PaaZ	68.58988110112877	83.74345223220458
1863.3333333333333	chaperonin, 60 kDa	1764.8430960489136	-385.8430960489136
72.33333333333333	TRAP transporter, periplasmic protein	69.53645097554158	-55.20311764220825
190.33333333333334	cell division protein FtsZ	181.2316961562551	-91.89836282292178
134.33333333333334	type I secretion outer membrane protein, TolC family	128.22378318913684	62.77621681086316
86.0	hypothetical protein	82.47290592585021	113.86042740748313
17.666666666666668	polyphosphate kinase 2	17.79063117430708	99.87603549235959
210.33333333333334	threonyl-tRNA synthetase	200.16309364451166	58.503573022155024
115.33333333333333	polyhydroxyalkanoate depolymerase, intracellular	110.23895557529312	59.094377758040224
332.6666666666667	phasin, PhaP	315.96014161434744	-64.29347494768078
130.33333333333334	CTP synthase	124.43750369148553	58.89582964184781
67.0	4-hydroxyphenylpyruvate dioxygenase	64.48807831200651	58.51192168799349
201.33333333333334	outer membrane protein, OMP85 family	191.6439647747962	73.35603522520381
203.33333333333334	ribosomal protein L13	193.53710452362185	59.46289547637815
235.33333333333334	pyridine nucleotide-disulfide oxidoreductase family protein	223.8273405048323	-55.82734050483231
248.33333333333334	dihydroorotate dehydrogenase family protein	236.13274887219904	-66.13274887219904
188.66666666666666	pyruvate ferredoxin/flavodoxin oxidoreductase family protein	179.65407969890038	150.34592030109962
174.0	branched-chain amino acid ABC transporter, periplasmic substrate-binding protein	165.77105487417896	-54.10438820751229
352.3333333333333	translation elongation factor Ts	334.576015811133	-74.24268247779969
108.66666666666667	glutamine amidotransferases class-II domain protein	103.92848974587429	-57.26182307920762
297.6666666666667	alanyl-tRNA synthetase	282.83019600989854	-70.4968626765652
133.33333333333334	no change	127.27721331472402	62.05612001860932
391.0	outer membrane protein, putative	371.1767176217623	673.156615711571
78.66666666666667	ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent	75.53139351348949	-58.53139351348949
133.0	citrate synthase I	126.96169002325307	100.70497664341359
100.33333333333333	cysteine synthase A	96.04040745910073	54.959592540899266
353.0	trigger factor	335.2070623940749	-140.54039572740825
903.6666666666666	hypothetical protein	856.4515399040713	-82.78487323740467
104.0	hypothetical protein	99.5111636652811	102.15550300138555
288.6666666666667	sarcosine oxidase, alpha subunit family	274.31106714018307	105.02226619315024
127.66666666666667	sarcosine oxidase, beta subunit family	121.913317359718	53.753349306948664
184.66666666666666	bacterial extracellular solute-binding protein, family 7	175.8678002012491	-81.53446686791578
255.0	gamma-glutamylisopropylamide synthetase, putative	242.44321470161788	-98.77654803495122
