Value	Annotation	Predicted	Residual
271.19613263774323	translation initiation factor IF-2	264.4432047853025	-54.084549615912096
83.92598764881616	hypothetical protein	82.58316410594617	68.68598118440198
136.25630935925446	3-isopropylmalate dehydratase, large subunit	133.40169919912302	89.11251228824176
35.87424570086652	PaxA, putative	35.919603580135956	171.0625081675949
176.40913482260964	alpha-aminoadipic semialdehyde dehydrogenase	172.39453744671786	121.3647402376636
73.06497748249878	hypothetical protein	72.03592097340004	-65.28283413008093
159.294815772655	electrotransfer ubiquinone oxidoreductase family protein	155.77463917725123	71.46673310043698
180.3585930649069	succinate dehydrogenase, flavoprotein subunit	176.22989858582557	117.86703344072183
20.734655772060464	type I secretion target repeat protein	21.217385880223148	220.2054687684352
295.88024665210094	cold shock family protein	288.41421190472556	-95.9512368701308
12.835739287466001	universal stress family protein	13.54666360200777	56.34778522634507
511.1257208573	glutamate/glutamine/aspartate/asparagine ABC transporter, periplasmic substrate-binding protein	497.44139398609457	-135.813593526356
55.29241539216124	pyruvate ferredoxin/flavodoxin oxidoreductase family protein	54.77679584741543	145.11457471483035
50.684714109481135	dehydrogenase/transketolase family protein	50.30220785178979	59.097799009979866
179.70035002452403	sugar ABC transporter, periplasmic sugar-binding protein	175.59067172930764	-126.63079211524406
17.443440570146105	monooxygenase family protein	18.02125159763341	72.80776644500867
215.57459572539054	phosphoenolpyruvate carboxykinase (ATP)	210.4285354095358	-74.69148985882163
70.43200532096729	phenylacetic acid degradation protein PaaZ	69.47901354732824	84.82902082251351
1839.7892978701268	chaperonin, 60 kDa	1787.7208038675728	-390.84479032701415
71.4193698815416	TRAP transporter, periplasmic protein	70.43785383210516	-55.91871711896906
187.92838802930993	cell division protein FtsZ	183.581007435782	-93.08964373530588
132.63597263714868	type I secretion outer membrane protein, TolC family	129.88595148827434	63.58998657281825
84.91335220939048	hypothetical protein	83.5420043907231	115.33640314502483
17.443440570146105	polyphosphate kinase 2	18.02125159763341	101.17073118694896
207.6756792407961	threonyl-tRNA synthetase	202.75781313132043	59.26195638946123
113.87604598623683	polyhydroxyalkanoate depolymerase, intracellular	111.66798607751281	59.860419742792686
328.4632771510531	phasin, PhaP	320.055941302364	-65.12691296706745
128.68651439485146	CTP synthase	126.05059034916667	59.65929784210897
66.15342555847863	4-hydroxyphenylpyruvate dioxygenase	65.32403897996159	59.27041327927607
198.7893981956273	outer membrane protein, OMP85 family	194.12825056832813	74.30695145360667
200.76412731677593	ribosomal protein L13	196.04593113788198	60.23371456607842
232.3597932551538	pyridine nucleotide-disulfide oxidoreductase family protein	226.7288202507435	-56.55103179910182
245.1955325426198	dihydroorotate dehydrogenase family protein	239.19374395284348	-66.99002944820609
186.2827804283527	pyruvate ferredoxin/flavodoxin oxidoreductase family protein	181.98294029448707	152.29485844980903
171.80143353992955	branched-chain amino acid ABC transporter, periplasmic substrate-binding protein	167.91994945109224	-54.80574482549707
347.8814468423477	translation elongation factor Ts	338.9131335696433	-75.20509233803199
107.29361558240811	glutamine amidotransferases class-II domain protein	105.27571751233333	-58.00410960909953
293.9055175309523	alanyl-tRNA synthetase	286.49653133517165	-71.41071537545787
131.6486080765744	no change	128.92711120349745	62.86055514676539
386.0595431845544	outer membrane protein, putative	375.98829124768446	681.8827627582548
77.67267876517889	ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent	76.51050896902566	-59.29013751856192
131.31948655638294	citrate synthase I	128.60749777523844	102.0104179241093
99.06557757762222	cysteine synthase A	97.28538180585898	55.672035195318955
348.53968988273067	trigger factor	339.5523604261614	-142.36222460124327
892.2484412389828	hypothetical protein	867.5537439099865	-83.85801574280333
102.68591429972801	hypothetical protein	100.8011295167077	103.4797474936955
285.01923648578355	sarcosine oxidase, alpha subunit family	277.8669687721794	106.38367261267814
126.05354223331997	sarcosine oxidase, beta subunit family	123.49368292309487	54.45015539836379
182.3333221860555	bacterial extracellular solute-binding protein, family 7	178.14757915537942	-82.59140032241396
251.7779629464485	gamma-glutamylisopropylamide synthetase, putative	245.58601251802295	-100.05699104449604
292.2599099299951	aldehyde dehydrogenase, putative	284.8984641938768	-137.34351666735418
210.96689444271044	alcohol dehydrogenase, iron-containing	205.95394741391016	-69.87924752103001
286.99396560693214	ATP-dependent protease La	279.7846493417332	119.66043744059237
445.30141681901284	NADH-dependent flavin oxidoreductase, Oye family	433.5187083342998	185.73935519806292
385.40130014417144	peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein	375.34906439116645	-102.52435592107423
83.59686612862473	NAD(P) transhydrogenase, alpha subunit	82.26355067768719	68.33028592832903
53.646807791204054	malate synthase G	53.17872870612055	121.72622053584448
187.27014498892703	cobalt chelatase, CobS subunit	182.94178057926402	52.74095025257304
122.43320551121417	CobN	119.97793521224614	-58.862499280208155
103.34415734011088	acyl-CoA dehydrogenase family protein	101.44035637322565	110.60657050699456
109.26834470355674	fatty oxidation complex, alpha subunit	107.19339808188718	57.91957523726515
256.0565427089371	peptide/nickel/opine uptake family ABC transporter, periplasmic substrate-binding protein	249.74098708538958	-67.06998797360754
