Value	Annotation	Predicted	Residual
6.0	outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid [Alteromonas macleodii]	35.37516251490226	221.95817081843106
32.333333333333336	hypothetical protein MIT1002_00114 [Alteromonas macleodii]	97.14514511653914	111.52152155012752
17.333333333333332	inorganic pyrophosphatase [Alteromonas macleodii]	61.95971198902445	114.70695467764222
43.0	phosphoglycerate mutase [Alteromonas macleodii]	122.16589756277179	105.16743577056155
5.333333333333333	aconitase [Alteromonas macleodii]	33.81136548701271	161.18863451298728
73.33333333333333	LSU ribosomal protein L23P [Alteromonas macleodii]	193.3186623317459	-108.65199566507924
89.0	SSU ribosomal protein S3P [Alteromonas macleodii]	230.06789248715012	-97.06789248715012
9.666666666666666	DNA topoisomerase IV subunit A [Alteromonas macleodii]	43.97604616829473	103.69062049837193
102.0	succinylglutamic semialdehyde dehydrogenase [Alteromonas macleodii]	260.56193453099615	-141.22860119766284
117.0	acetylornithine aminotransferase apoenzyme [Alteromonas macleodii]	295.7473676585109	-162.41403432517754
7.0	argininosuccinate synthase [Alteromonas macleodii]	37.72085805673657	185.61247527659677
8.666666666666666	acetolactate synthase [Alteromonas macleodii]	41.63035062646041	295.03631604020626
1.3333333333333333	nickel superoxide dismutase [Alteromonas macleodii]	24.428583319675464	187.2380833469912
3.6666666666666665	TonB-dependent receptor [Alteromonas macleodii]	29.90187291728886	184.7647937493778
7.333333333333333	outer membrane transport energization protein ExbB [Alteromonas macleodii]	38.502756570681335	95.49724342931867
137.0	aconitase [Alteromonas macleodii]	342.6612784951971	98.00538817146958
25.333333333333332	aconitase [Alteromonas macleodii]	80.72527632369895	171.6080570096344
9.0	aspartate kinase [Alteromonas macleodii]	42.41224914040519	114.25441752626148
2.6666666666666665	Outer membrane receptor proteins [Alteromonas macleodii]	27.556177375454546	107.77715595787879
55.333333333333336	transketolase [Alteromonas macleodii]	151.0961425787283	104.90385742127171
41.333333333333336	hydrophobe/amphiphile efflux-1 (HAE1) family protein [Alteromonas macleodii]	118.25640499304794	-118.25640499304794
12.666666666666666	polyphosphate kinase [Alteromonas macleodii]	51.013132793797666	98.98686720620233
1.3333333333333333	outer membrane receptor for ferrienterochelin and colicins [Alteromonas macleodii]	24.428583319675464	169.9047500136579
0.3333333333333333	3-isopropylmalate dehydratase [Alteromonas macleodii]	22.082887777841155	99.58377888882552
2.3333333333333335	3-isopropylmalate dehydrogenase [Alteromonas macleodii]	26.774278861509778	128.55905447182357
0.0	2-isopropylmalate synthase [Alteromonas macleodii]	21.300989263896383	122.03234406943696
54.0	enolase [Alteromonas macleodii]	147.96854852294922	157.03145147705078
37.333333333333336	UDP-glucose pyrophosphorylase [Alteromonas macleodii]	108.8736228257107	115.79304384095596
126.0	SSU ribosomal protein S2P [Alteromonas macleodii]	316.85862753501965	-135.85862753501965
187.0	translation elongation factor Ts (EF-Ts) [Alteromonas macleodii]	459.9460555869127	-101.27938892024599
88.0	phosphoribosylformylglycinamidine synthase [Alteromonas macleodii]	227.72219694531583	106.27780305468417
24.333333333333332	chemotaxis family [Alteromonas macleodii]	78.37958078186463	128.9537525514687
3.0	methionine synthase (B12-dependent) [Alteromonas macleodii]	28.33807588939932	145.995257443934
89.33333333333333	endothelin-converting enzyme Metallo peptidase. MEROPS family M13 [Alteromonas macleodii]	230.8497910010949	-105.8497910010949
3.3333333333333335	alpha subunit [Alteromonas macleodii]	29.119974403344088	136.8800255966559
63.666666666666664	TonB-dependent Receptor Plug Domain [Alteromonas macleodii]	170.64360542734755	367.6897279059858
60.0	Protein of unknown function (DUF3450) [Alteromonas macleodii]	162.0427217739551	133.9572782260449
105.33333333333333	outer membrane transport energization protein ExbB [Alteromonas macleodii]	268.38091967044386	119.28574699622283
61.333333333333336	Tetratricopeptide repeat-containing protein [Alteromonas macleodii]	165.17031582973416	144.49635083693252
3.6666666666666665	alcohol dehydrogenase (cytochrome c) [Alteromonas macleodii]	29.90187291728886	96.76479374937782
4.666666666666667	PrkA [Alteromonas macleodii]	32.24756845912317	229.75243154087684
18.0	asparagine synthase (glutamine-hydrolysing) [Alteromonas macleodii]	63.52350901691399	207.80982431641934
47.333333333333336	sulfate adenylyltransferase subunit 1 [Alteromonas macleodii]	132.3305782440538	104.33608842261285
28.0	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [Alteromonas macleodii]	86.98046443525712	167.01953556474288
11.0	aspartate-semialdehyde dehydrogenase [Alteromonas macleodii]	47.103640224073814	130.8963597759262
234.0	molecular chaperone DnaK [Alteromonas macleodii]	570.1937460531253	-179.860412719792
6.333333333333333	phosphotransacetylase [Alteromonas macleodii]	36.157061028847025	119.17627230448632
19.333333333333332	iron complex outermembrane recepter protein [Alteromonas macleodii]	66.65110307269308	106.68223026064027
