Value	Annotation	Predicted	Residual
203.29400813100804	chaperone protein DnaK	422.65311852253683	-388.86277121235753
475.779310257482	PaxA, putative	996.9911397574431	3156.7185907049698
86.31078941702447	malate dehydrogenase, NAD-dependent	176.07868008660853	-154.4904026384384
66.69470091315527	peptidyl-dipeptidase, putative	134.73235656838884	-125.65902256843329
90.23400711779828	cold shock family protein	184.34794479025243	-120.83460679056353
111.99003254936233	ribosomal protein L2	230.20477632864157	-130.39810232913044
160.85192573172742	aminomethyl transferase family protein	333.19470945584334	-323.18275469727166
434.050540167433	chaperonin, 60 kDa	909.0362333641394	-828.3148481231555
78.46435401547679	carbamoyl-phosphate synthase, large subunit	159.54015067932065	-155.7856676448563
73.11451169623972	aspartyl-tRNA synthetase	148.26388062889706	-132.62020131862886
87.38075788087188	hypothetical protein	178.33393409669324	123.58907659148312
121.97640487860481	pyruvate carboxylase	251.25381375609885	-217.15059285971415
79.53432247932419	oligoendopeptidase F	161.79540468940533	-147.71609331016396
115.19993794090455	citrate synthase I	236.97053835889568	-149.6788078075991
0.3566561546158035	gene transfer agent	-5.09339205686318	218.1603042627161
87.02410172625606	trigger factor	177.58218275999832	-146.92057131187264
51.71514241929152	bacterial extracellular solute-binding protein, family 7	103.15880042720289	354.8881297774501
82.74422787086641	peptide/nickel/opine uptake family ABC transporter, periplasmic substrate-binding protein	168.56116671965944	-143.5312798232303
260.71564902415236	hypothetical protein	543.6850837304162	-476.73013628246827
108.06681484858848	formate--tetrahydrofolate ligase	221.93551162499762	-208.1690738319616
93.44391250934052	ribosomal protein S4	191.11370682050656	-150.7530142000146
131.6061210532315	Manganese ABC transporter, periplasmic protein	271.55109984686123	-262.79063943311104
144.80239877401627	polyribonucleotide nucleotidyltransferase	299.3658993045727	-264.3240576495719
121.2630925693732	translation elongation factor G	249.750311082709	-215.95996377252968
111.99003254936233	ribosomal protein S7	230.20477632864157	-197.6659233632837
155.50208341249038	oligopeptide/dipeptide ABC transporter, periplasmic substrate-binding protein	321.9184394054198	-258.7179749919363
94.51388097318794	Unknown	193.36896083059128	-132.0457379343399
135.17268259938953	Unknown	279.06861321381024	-186.1451581108171
90.23400711779828	Unknown	184.34794479025243	-135.85253892842098
