Value	Annotation	Predicted	Residual
100.7111851785794	betaine aldehyde dehydrogenase	87.31721010133387	-80.76478562430083
99.72382061800509	poly(3-hydroxyalkanoate) polymerase	86.49243664682112	-83.2162244083046
88.8628104516877	PAN domain protein	77.41992864718083	90.07642204697655
176.40913482260964	alpha-aminoadipic semialdehyde dehydrogenase	150.54984161397826	-145.63552325620347
232.3597932551538	acetyl-CoA acetyltransferase	197.28700403636762	183.16314216136388
113.5469244660454	succinyl-CoA synthase, alpha subunit	98.03926500999967	78.05714281026357
219.19493244749634	succinyl-CoA synthase, beta subunit	186.29002464286424	151.97888898396695
288.9686947280808	malate dehydrogenase, NAD-dependent	244.57401542843215	139.56186953763043
180.3585930649069	succinate dehydrogenase, flavoprotein subunit	153.8489354320293	95.14319469522661
159.294815772655	glutamate/leucine/phenylalanine/valine dehydrogenase family protein	136.2537684024239	-136.2537684024239
135.92718783906304	hypothetical protein	116.7341299789554	-86.8386933024921
511.1257208573	glutamate/glutamine/aspartate/asparagine ABC transporter, periplasmic substrate-binding protein	430.14804269380153	166.9416377758352
179.70035002452403	sugar ABC transporter, periplasmic sugar-binding protein	153.29908646235413	247.62738622610556
37.19073178163226	sugar ABC transporter, ATP-binding protein	34.256784527680104	80.00111729058372
476.56796123719926	aminomethyl transferase family protein	401.2809717858552	-363.60453104291514
138.23103848040307	aerobic glycerol-3-phosphate dehydrogenase	118.65860137281848	79.96176558724585
57.26714451330985	L-lactate dehydrogenase, putative	51.027178102772744	91.07852774288153
48.38086346814108	branched-chain amino acid ABC transporter, periplasmic substrate-binding protein	43.60421701215797	88.67285211794675
129.01563591504288	formate dehydrogenase, alpha subunit	110.96071579736613	-89.25580971719415
1839.7892978701268	chaperonin, 60 kDa	1540.0181879831293	-269.66689249834667
185.29541586777842	sulfate adenylyltransferase	157.97280270459305	119.27665797986788
326.15942650971294	carbamoyl-phosphate synthase, large subunit	275.6404822150791	90.88576196895713
142.18049672270033	hypothetical protein	121.95769519086952	161.84418997062443
526.5944323062976	pyruvate carboxylase	443.069493481168	325.20227645095713
26.65884313550631	oligopeptide ABC transporter, periplasmic oligopeptide-binding protein	25.459201012877404	117.87508442222057
231.04330717438802	cold shock family protein	196.18730609701728	104.40516678687388
328.4632771510531	phasin, PhaP	277.56495360894223	260.55290656739703
112.23043838527965	ketol-acid reductoisomerase	96.93956707064933	125.84286514847437
90.83753957283632	indole acetamide hydrolase	79.06947555620636	-79.06947555620636
11.848374726891693	carbon monoxide dehydrogenase, large subunit	13.087599195186112	111.81799239825641
101.04030669877083	peptide/opine/nickel uptake family ABC transporter, periplasmic substrate-binding protein	87.59213458617145	152.79993841497858
157.97832969188923	citrate lyase, putative	135.15407046307354	-130.23975210529875
