Value	Annotation	Predicted	Residual
11.0	outer membrane protein [Alteromonas macleodii]	51.95470696095627	309.7119597057104
43.0	phosphoglycerate mutase [Alteromonas macleodii]	163.6444082985736	76.02225836809305
5.333333333333333	aconitase [Alteromonas macleodii]	32.17632234908653	117.82367765091347
73.33333333333333	LSU ribosomal protein L23P [Alteromonas macleodii]	269.51693769152337	-90.18360435819002
64.0	peptidyl-dipeptidase Dcp [Alteromonas macleodii]	236.94077480138498	79.72589186528171
9.666666666666666	DNA topoisomerase IV subunit A [Alteromonas macleodii]	47.30096940522221	73.69903059477778
102.0	succinylglutamic semialdehyde dehydrogenase [Alteromonas macleodii]	369.5722951398056	-133.90562847313893
117.0	acetylornithine aminotransferase apoenzyme [Alteromonas macleodii]	421.9268426418137	-98.5935093084804
11.333333333333334	ATP-dependent RNA helicase RhlB [Alteromonas macleodii]	53.11814134988978	71.88185865011022
68.0	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [Alteromonas macleodii]	250.90198746858715	89.09801253141285
82.33333333333333	L-proline dehydrogenase /delta-1-pyrroline-5-carboxylate dehydrogenase [Alteromonas macleodii]	300.92966619272823	73.07033380727177
25.333333333333332	aconitase [Alteromonas macleodii]	101.98238568509737	93.68428098156929
50.666666666666664	LSU ribosomal protein L13P [Alteromonas macleodii]	190.4033992440444	71.26326742262228
19.0	SSU ribosomal protein S9P [Alteromonas macleodii]	79.87713229536061	74.12286770463939
5.0	sigma 54 modulation protein [Alteromonas macleodii]	31.01288796015302	262.65377870651366
28.666666666666668	membrane fusion protein [Alteromonas macleodii]	113.6167295744325	92.3832704255675
41.333333333333336	hydrophobe/amphiphile efflux-1 (HAE1) family protein [Alteromonas macleodii]	157.82723635390604	140.17276364609396
29.333333333333332	NodT family [Alteromonas macleodii]	115.94359835229952	131.05640164770048
12.666666666666666	polyphosphate kinase [Alteromonas macleodii]	57.771878905623836	91.22812109437616
126.0	SSU ribosomal protein S2P [Alteromonas macleodii]	453.3395711430186	-138.3395711430186
187.0	translation elongation factor Ts (EF-Ts) [Alteromonas macleodii]	666.2480643178517	-144.24806431785169
88.0	phosphoribosylformylglycinamidine synthase [Alteromonas macleodii]	320.70805080459803	87.95861586206865
6.0	N-acetylneuraminate synthase [Alteromonas macleodii]	34.50319112695356	69.49680887304643
105.33333333333333	outer membrane transport energization protein ExbB [Alteromonas macleodii]	381.2066390291407	-109.20663902914072
4.666666666666667	PrkA [Alteromonas macleodii]	29.849453571219506	154.48387976211384
86.33333333333333	peroxiredoxin (alkyl hydroperoxide reductase subunit C) [Alteromonas macleodii]	314.8908788599304	199.44245447340296
56.0	cold-shock DNA-binding protein family [Alteromonas macleodii]	209.01834946698065	-172.6850161336473
14.0	M28 family [Alteromonas macleodii]	62.4256164613579	67.90771687197545
36.333333333333336	DUF885 familyt [Alteromonas macleodii]	140.37572051990333	81.95761281343002
28.0	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [Alteromonas macleodii]	111.28986079656548	80.04347253676787
20.333333333333332	Protein of unknown function (DUF3584) [Alteromonas macleodii]	84.53086985109465	113.46913014890535
234.0	molecular chaperone DnaK [Alteromonas macleodii]	830.2923131574771	205.37435350918963
27.0	molecular chaperone DnaJ [Alteromonas macleodii]	107.79955762976493	79.53377570356841
47.0	ribose-phosphate pyrophosphokinase [Alteromonas macleodii]	177.60562096577576	96.72771236755756
45.666666666666664	starch phosphorylase [Alteromonas macleodii]	172.9518834100417	70.38144992329165
46.0	bacterial translation initiation factor 3 (bIF-3) [Alteromonas macleodii]	174.1153177989752	-80.78198446564188
6.333333333333333	transcription-repair coupling factor [Alteromonas macleodii]	35.66662551588708	80.66670781744625
5.333333333333333	oxidoreductase alpha (molybdopterin) subunit [Alteromonas macleodii]	32.17632234908653	156.82367765091345
