Value	Annotation	Predicted	Residual
231.13845276900005	DNA gyrase subunit B [Alteromonas macleodii]	239.5394604301774	-61.24668332450315
249.9144055149412	outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid [Alteromonas macleodii]	259.13363337429126	-140.2717819705084
202.65080032688238	hypothetical protein MIT1002_00114 [Alteromonas macleodii]	209.81037044600458	-81.67317225637743
114.59805641488236	iron(III) transport system substrate-binding protein [Alteromonas macleodii]	117.92045594947051	-70.85665929537153
71.86657775170589	Acyl-CoA hydrolase [Alteromonas macleodii]	73.32682097321133	57.21509675348658
93.55604040650002	homodimeric glycerol 3-phosphate dehydrogenase (quinone) [Alteromonas macleodii]	95.9614690293429	-86.68612224349857
220.7793064264118	phosphoglycerate mutase [Alteromonas macleodii]	228.72888225411458	46.78327042170571
189.3781440754412	aconitase [Alteromonas macleodii]	195.9593171579241	112.5318463120094
155.06347181561765	LSU ribosomal protein L3P [Alteromonas macleodii]	160.14927694971593	48.717791413000725
325.01821649870595	LSU ribosomal protein L2P [Alteromonas macleodii]	337.51032515074684	108.39338329465812
75.75125763017648	SSU ribosomal protein S17P [Alteromonas macleodii]	77.38078778923489	82.7048271071894
256.065148655853	nitrogen regulatory protein P-II family [Alteromonas macleodii]	265.5524141663286	-47.06646765532898
205.56431023573532	nickel superoxide dismutase [Alteromonas macleodii]	212.85084555802226	-164.41292345416855
82.87317074070589	assimilatory nitrite reductase (NAD(P)H) large subunit precursor [Alteromonas macleodii]	84.81306028527808	-81.72127802332997
208.47782014458826	TonB-dependent receptor [Alteromonas macleodii]	215.89132067003993	48.6278284077427
188.73069742902945	outer membrane receptor for ferrienterochelin and colicins [Alteromonas macleodii]	195.28365602192017	-105.9655017878637
139.20102897852945	2-isopropylmalate synthase [Alteromonas macleodii]	143.59557911761976	-92.75293747669531
296.20684073338236	enolase [Alteromonas macleodii]	307.44340459857204	-71.78088996563847
218.18951984076475	UDP-glucose pyrophosphorylase [Alteromonas macleodii]	226.02623771009885	51.203571777914846
348.32629576952945	translation elongation factor Ts (EF-Ts) [Alteromonas macleodii]	361.8341260468882	-52.65589985207731
89.67136052802942	flagellum-specific ATP synthase [Alteromonas macleodii]	91.90750221331932	-49.99667599580052
522.8131669775001	TonB-dependent Receptor Plug Domain [Alteromonas macleodii]	543.9248021999466	-144.74135904620198
287.46631100682356	Protein of unknown function (DUF3450) [Alteromonas macleodii]	298.32197926251905	-51.6664610315477
123.01486281823531	alcohol dehydrogenase (cytochrome c) [Alteromonas macleodii]	126.70405071752157	58.115822274487584
254.44653203982355	PrkA [Alteromonas macleodii]	263.86326132631876	-59.462100675304924
90.64253049764707	3-deoxy-D-arabinoheptulosonate-7-phosphate synthase [Alteromonas macleodii]	92.9209939173252	-54.101949961754514
78.66476753902943	TolB protein [Alteromonas macleodii]	80.42126290125256	57.33481343665758
161.53793827973533	peptidoglycan-associated lipoprotein [Alteromonas macleodii]	166.90588830975523	118.22514251434811
430.2282965406177	catecholate siderophore receptor [Alteromonas macleodii]	447.30525975138494	-158.05185257801742
379.0800114740883	molecular chaperone DnaK [Alteromonas macleodii]	393.9280300070747	78.08406198366981
124.9572027574706	propionyl-CoA synthetase [Alteromonas macleodii]	128.73103412553334	227.51098872337647
95.8221036689412	MoxR-like ATPase [Alteromonas macleodii]	98.32628300535663	-74.96615035952648
239.55525917235298	starch phosphorylase [Alteromonas macleodii]	248.32305519822845	57.07632600975691
72.83774772132354	oxidoreductase alpha (molybdopterin) subunit [Alteromonas macleodii]	74.34031267721721	-59.9119954547927
286.49514103720594	RNAse E [Alteromonas macleodii]	297.30848755851315	75.07950932501456
93.8797637297059	LSU ribosomal protein L32P [Alteromonas macleodii]	96.29929959734486	106.38420424147557
185.1697408737647	peptidyl-dipeptidase A [Alteromonas macleodii]	191.56751977389854	52.68327892000201
273.2224847857647	bacterial translation initiation factor 2 (bIF-2) [Alteromonas macleodii]	283.4574342704326	117.10013433306682
111.03709985961765	iron complex outermembrane recepter protein [Alteromonas macleodii]	114.20431970144891	-76.75940119563293
85.46295732635295	glutamate-5-semialdehyde dehydrogenase [Alteromonas macleodii]	87.5157048292938	-65.87322899565703
341.52810598220594	succinate dehydrogenase subunit A [Alteromonas macleodii]	354.739684118847	142.35019732992106
440.91116620641185	2-oxoglutarate dehydrogenase E1 component [Alteromonas macleodii]	458.4536684954498	135.16852579858693
258.0074885950883	succinyl-CoA synthetase (ADP-forming) alpha subunit [Alteromonas macleodii]	267.5793975743404	70.79899442775809
